Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
04ETK0013P,2,VESPERTINO,TELEBACHILLERATO COMUNITARIO ADOLFO RUIZ CORTINEZ,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,4,CAMPECHE,2,CAMPECHE,316,ADOLFO RUIZ CORTÍNEZ,CALLE 8,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,24575,9811363020,9811363020,,,,,,,,,,,,90:21:35.28 W,19:28:34.68 N,-90.3598,19.4763
04ETK0016M,2,VESPERTINO,TELEBACHILLERATO COMUNITARIO CARLOS SALINAS DE GORTARI,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,4,CAMPECHE,4,CHAMPOTÓN,1614,CARLOS SALINAS DE GORTARI,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,24441,,,,,,,,,,,,,,90:15:58.32 W,19:9:3.24 N,-90.2662,19.1509
04SDI0073A,1,MATUTINO,ESTANCIA INFANTIL REINO MAGICO,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,2,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,CALLE COPAL,4,CALLE SIRIS,CALLE GUAYACAN,CALLE AGUSTÍN MELGAR,10,BOSQUES DE CAMPECHE,24030,9818164311,9818164311,,,5,2,7,0,2,2,2,2,,90:33:21.37 W,19:49:49.16 N,-90.555935,19.830323
04SDI0019G,1,MATUTINO,ESTANCIA INFANTIL TRAVIESITOS,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,2,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,NINGUNO ANTIGUA CAMPECHE-MÉRIDA,438,CALLE LOLTUN,CALLE XCARET,PRIVADA MISOL-HA,161,COLONIAL CAMPECHE SECCIÓN MAQUILADORA,24085,9818170993,9818170993,,,13,13,26,0,1,1,1,1,,90:29:31.26 W,19:51:0.14 N,-90.492016,19.850038
04SDI0036X,1,MATUTINO,ESTANCIA INFANTIL DESTELLITOS MAGICOS,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,4,CHAMPOTÓN,45,VILLA MADERO,CALLE 10,0,CALLE 11,CALLE 9,CALLE 12,9,VILLA MADERO,24462,,,,,12,15,24,0,1,1,2,2,,90:41:55.09 W,19:31:49.61 N,-90.698637,19.530446
04SDI0052O,1,MATUTINO,ESTANCIA INFANTIL LOS ABRACITOS DE MAMA,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,2,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,CALLE UAXACTUN,5,AVENIDA JAINA,CALLE CHELEMI,CALLE BALANKU,125,VALLE DORADO,24026,,,,,9,10,19,0,3,3,3,3,,90:29:37.89 W,19:51:14.69 N,-90.493857,19.85408
04SDI0016J,1,MATUTINO,ESTANCIA INFANTIL CUNALUNA,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,2,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,CALLE SANTA ISABEL,11,CALLE EL POZO,CALLE ENREDADORA,CALLE SANTA MARÍA,109,SASCALUM,24095,9811456405,9811456405,,,14,17,31,0,0,0,3,3,,90:31:56.25 W,19:48:59.78 N,-90.532292,19.816605
04SDI0030C,1,MATUTINO,ESTANCIA INFANTIL GARABATOS Y COLORES,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,8,TENABO,1,TENABO,CALLE 8,0,CALLE 11,CALLE 9-B,CALLE NINGUNO,1,JACINTO CANEK,24700,,,,,21,31,52,0,6,6,3,3,,90:13:25.87 W,20:2:24.00 N,-90.223854,20.04
04SDI0038V,1,MATUTINO,ESTANCIA INFANTIL MARIA MONTESSORI,INICIAL,INICIAL,LACTANTE Y MATERNAL,PRIVADO,SUBSIDIO,4,CAMPECHE,4,CHAMPOTÓN,1,CHAMPOTÓN,CALLE 25,18,CALLE 26,CALLE 28,CALLE 27,10,CONCEPCIÓN DURÁN,24400,,,,,1,0,1,0,0,0,4,4,,90:43:14.60 W,19:21:20.74 N,-90.720723,19.355762
04PBH0016P,1,MATUTINO,MAESTRO DE AMERICA,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PRIVADO,PRIVADO,4,CAMPECHE,2,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,AVENIDA GOBERNADORES,172,CALLE 114,CALLE 112,CALLE 105,458,SANTA LUCIA,24020,9818150420,9818150420,,,,,,,,,,,,90:30:38.53 W,19:50:33.82 N,-90.510702,19.842727
