Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
09DJN1354F,2,VESPERTINO,ALEJANDRO HUMBOLDT,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL,9,CIUDAD DE MÉXICO,6,IZTACALCO,1,IZTACALCO,CALLE PLUTARCO ELIAS S NO. 1148,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,23,MILITAR MARTE,8830,56330147,56330147,,,48,50,98,0,5,5,5,5,,99:5:51.36 W,19:23:45.24 N,-99.0976,19.3959
09PPR1005V,1,MATUTINO,COLEGIO RENACIMIENTO DEL SUR,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,9,CIUDAD DE MÉXICO,13,XOCHIMILCO,1,XOCHIMILCO,CAMINO VIEJO SAN LORENZO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,162,SANTA MARIA NATIVITAS,16450,21574853,21574853,,,72,49,121,1,2,3,6,6,,99:6:17.64 W,19:15:48.60 N,-99.1049,19.2635
09PES0828K,1,MATUTINO,ASHMONT SCHOOL,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,9,CIUDAD DE MÉXICO,12,TLALPAN,1,TLALPAN,PROLONGACIÓN DIVISIÓN DEL NORMTE NO. 4284,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,264,EJIDOS DE HUIPULCO,14380,56794037,56794037,,,39,35,74,4,5,9,3,3,,99:10:1.56 W,19:17:17.88 N,-99.1671,19.2883
09DAL0003P,4,DISCONTINUO,"ESCUELA NACIONAL DE PINTURA, ESCULTURA Y GRABADO LA ESMERALD",SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,FEDERAL,9,CIUDAD DE MÉXICO,3,COYOACÁN,1,COYOACÁN,CALLE RIO CHURUBUSCO,0,CALLE MIRAMONTES,CALZADA DE TLALPAN,NINGUNO NINGUNO,152,COUNTRY CLUB,4220,1253 943,1253 943,,,,,,,,,,,,99:9:43.56 W,19:21:0.72 N,-99.1621,19.3502
09DST0006U,1,MATUTINO,ESCUELA SECUNDARIA TÉCNICA 6,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL,9,CIUDAD DE MÉXICO,15,CUAUHTÉMOC,1,CUAUHTÉMOC,CALLEJÓN DEL HORMIGUERO NO. 5,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,7,CENTRO,0,55218495,55218495,,,402,367,769,8,19,27,23,23,,99:9:6.84 W,19:26:29.76 N,-99.1519,19.4416
09DPR2327F,1,MATUTINO,MTRO. SALVADOR M. LIMA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL,9,CIUDAD DE MÉXICO,17,VENUSTIANO CARRANZA,1,VENUSTIANO CARRANZA,CALLE TAPICERIA NO. 90,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,46,MORELOS,15270,57952901,57952901,,,96,80,176,1,5,6,8,17,,99:6:49.32 W,19:25:9.48 N,-99.1137,19.4193
09DJN1119B,1,MATUTINO,ESTANCIA JARDIN INFANTIL # 15 DIF,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL,9,CIUDAD DE MÉXICO,15,CUAUHTÉMOC,1,CUAUHTÉMOC,CALLE WAGNER,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,40,EX-HIPODROMO DE PERALVILLO,6250,55971932,55971932,,,28,23,51,0,3,3,3,3,,99:9:6.84 W,19:26:29.76 N,-99.1519,19.4416
09PJN2615M,1,MATUTINO,CENTRO EDUCATIVO FEDERICO GARCIA LORCA,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,9,CIUDAD DE MÉXICO,8,LA MAGDALENA CONTRERAS,1,LA MAGDALENA CONTRERAS,CALLE TIHUATLAN NO. 74,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,68,SAN JERONIMO ACULCO,10400,55688772,55688772,,,19,15,34,0,3,3,3,4,,99:14:29.40 W,19:18:17.64 N,-99.2415,19.3049
09PJN3719O,1,MATUTINO,COLEGIO LOUIS BUON LANGLAIS CAMPUS I PREESCOLAR,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,9,CIUDAD DE MÉXICO,10,ÁLVARO OBREGÓN,1,ÁLVARO OBREGÓN,PROLONGACIÓN CALLE 7,0,CALLE AV. DEL ROSAL,CALLE 6,NINGUNO NINGUNO,380,OLIVAR DEL CONDE 1A SECCION,1400,56605367,56605367,,,2,16,18,0,2,2,2,3,,99:11:43.44 W,19:23:26.88 N,-99.1954,19.3908
09PES0779S,1,MATUTINO,CENTRO DE EDUCACIÓN SECUNDARIA PERSONALIZADA,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,9,CIUDAD DE MÉXICO,10,ÁLVARO OBREGÓN,1,ÁLVARO OBREGÓN,CERRADA DE FRANZ HALS NO.9,0,CALLE ADIANO BRAWER,CALLE FRANZ HALS,NINGUNO NINGUNO,15,ALFONSO XIII,1460,56158075,56158075,,,42,19,61,2,3,5,4,4,,99:11:43.44 W,19:23:26.88 N,-99.1954,19.3908
