Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
06ETV0032H,1,MATUTINO,GUADALUPE VICTORIA,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,ESTATAL,6,COLIMA,9,TECOMÁN,17,CALERAS,CALLE 16 DE SEPTIEMBRE,0,CALLE IGNACIO ZARAGOZA,CALLE AVENIDA 20 DE NOVIEMBRE,CALLE INDEPENDENCIA,1,NINGUNO,28930,,,,,36,53,89,4,2,6,6,6,,103:52:48.00 W,18:59:47.04 N,-103.88,18.9964
06FEI0010I,4,DISCONTINUO,MODULO IX,INICIAL,INICIAL,INICIAL NO ESCOLARIZADA,PÚBLICO,FEDERAL TRANSFERIDO,6,COLIMA,7,MANZANILLO,1,MANZANILLO,PROLONGACIÓN FRANCISCO I. MADERO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,169,NINGUNO,0,,,,,35,50,85,0,9,9,0,0,,104:18:57.60 W,19:3:11.52 N,-104.316,19.0532
06PJN0086B,1,MATUTINO,COLEGIO ATENAS,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,6,COLIMA,7,MANZANILLO,1,MANZANILLO,AVENIDA MANZANILLO,239,CALLE NAUTILUS,CALLE ROMERILLO,CALLE AMATISTA,93,LA JOYA II,28869,3367463,3367463,,,11,14,25,0,2,2,2,2,,104:18:57.60 W,19:3:11.52 N,-104.316,19.0532
06DJN0031U,1,MATUTINO,PABLO NERUDA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,6,COLIMA,9,TECOMÁN,1,TECOMÁN,CALLE USUMACINTA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,18,INDECO,28170,,,,,66,54,120,0,6,6,6,8,,103:52:26.40 W,18:54:37.80 N,-103.874,18.9105
06DMS0018S,2,VESPERTINO,EMSAD 18,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,6,COLIMA,2,COLIMA,54,LOS ASMOLES,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,28640,,,,,,,,,,,,,,103:46:26.40 W,19:7:23.16 N,-103.774,19.1231
06UCT0011Y,2,VESPERTINO,BACHILLERATO 11,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,AUTÓNOMO,6,COLIMA,8,MINATITLÁN,1,MINATITLÁN,CALLE FILOMENO MEDINA,24,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,12,NINGUNO,0,3143360224,3143360224,,,,,,,,,,,,104:2:60.00 W,19:23:9.96 N,-104.05,19.3861
06KTV0011F,1,MATUTINO,CONAFE SECUNDARIA COMUNITARIA,BÁSICA,SECUNDARIA,COMUNITARIO,PÚBLICO,FEDERAL,6,COLIMA,9,TECOMÁN,1,TECOMÁN,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,62,NINGUNO,0,,,,,6,2,8,0,1,1,0,0,,103:52:26.40 W,18:54:37.80 N,-103.874,18.9105
06DPR0288J,2,VESPERTINO,CUAUHTEMOC,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,6,COLIMA,9,TECOMÁN,1,TECOMÁN,CALLE PROGRESO,0,CALLE PEDRO TORRES ORTIZ,CALLE GREGORIO ZUðIGA,CALLE ALFONSO HERRERA,100,UNION NORTE,28130,3247949,3247949,,,187,153,340,4,9,13,13,14,,103:52:26.40 W,18:54:37.80 N,-103.874,18.9105
06EBP0003M,2,VESPERTINO,CENTRO DE ESTUDIOS DE BACHILLERATO,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,6,COLIMA,9,TECOMÁN,1,TECOMÁN,PROLONGACIÓN RIO USUMACINTA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,62,NINGUNO,0,3122800,3122800,,,,,,,,,,,,103:52:26.40 W,18:54:37.80 N,-103.874,18.9105
06EJN0022L,1,MATUTINO,ANTONIO BARBOSA HELDT,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,6,COLIMA,4,COQUIMATLÁN,13,LA ESPERANZA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,28400,,,,,9,10,19,0,1,1,1,2,,103:51:57.60 W,19:10:13.08 N,-103.866,19.1703
