Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
31XBT0061C,4,DISCONTINUO,CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NUM. 061,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PÚBLICO,FEDERAL,31,YUCATÁN,50,MÉRIDA,1,MÉRIDA,CARRETERA MERIDA-UMAN KILOMETRO 7.5,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,45,NINGUNO,97288,9460695,9460695,,,,,,,,,,,,89:41:58.98 W,20:55:9.40 N,-89.699718,20.919279
31ETK0197J,1,MATUTINO,TELEBACHILLERATO COMUNITARIO DE LOL-BE,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,31,YUCATÁN,19,CHEMAX,98,LOL-BÉ,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,97770,,,,,,,,,,,,,,87:55:22.89 W,20:30:5.87 N,-87.923026,20.501631
31ETK0198I,2,VESPERTINO,TELEBACHILLERATO COMUNITARIO DE SANTA ROSA Y ANEXAS,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,31,YUCATÁN,96,TIZIMÍN,375,SANTA ROSA Y ANEXAS,CALLE CONOCIDO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,SANTA ROSA Y ANEXAS,97713,,,,,,,,,,,,,,87:44:51.22 W,21:18:41.67 N,-87.747561,21.311576
31ETK0201F,2,VESPERTINO,TELEBACHILLERATO COMUNITARIO DE TEPAKAN,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,31,YUCATÁN,86,TEPAKÁN,1,TEPAKÁN,CALLE 16,0,CALLE NINGUNO,CALLE 35,CALLE NINGUNO,2,NINGUNO,97530,,,,,,,,,,,,,,89:2:16.15 W,21:2:19.48 N,-89.037819,21.038744
31DES0019H,2,VESPERTINO,GASPAR ANTONIO XIU,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,31,YUCATÁN,58,PETO,1,PETO,CALLE 45-A,189,CALLE 28,CALLE 30,CALLE 45,12,FRANCISCO SARABIA,97930,,,,,136,111,247,11,9,20,12,12,,88:55:22.35 W,20:7:7.25 N,-88.922876,20.11868
31DPR0927O,1,MATUTINO,SALVADOR ALVARADO,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,31,YUCATÁN,2,ACANCEH,6,SACCHICH,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,2,NINGUNO,97380,,,,,18,17,35,0,1,1,2,2,,89:26:23.74 W,20:49:53.17 N,-89.439928,20.831437
31DPR0947B,1,MATUTINO,ALFREDO PENICHE EROSA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,31,YUCATÁN,32,ESPITA,5,SAN PEDRO CHENCHELÁ,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,97730,,,,,22,21,43,1,1,2,3,3,,88:18:51.04 W,20:52:29.56 N,-88.314178,20.874878
31DPR0397P,1,MATUTINO,FRANCISCO I. MADERO,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,31,YUCATÁN,71,SUDZAL,3,CHUMBEC,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,97676,,,,,16,16,32,0,1,1,2,2,,88:48:59.12 W,20:48:0.20 N,-88.816421,20.800056
31DPR0407F,1,MATUTINO,RAFAEL MOGUEL GAMBOA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,31,YUCATÁN,50,MÉRIDA,1,MÉRIDA,CALLE 16,0,CALLE 19,CALLE 17,CALLE 18,535,AMALIA SOLORZANO,97175,,,,,185,213,398,2,10,12,12,12,,89:34:14.74 W,20:57:52.13 N,-89.570761,20.964481
31DPR0424W,1,MATUTINO,MIGUEL HIDALGO Y COSTILLA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,31,YUCATÁN,64,SANAHCAT,1,SANAHCAT,CALLE 13,0,CALLE 16,CALLE 14,CALLE 11,2,NINGUNO,97587,,,,,75,63,138,4,2,6,6,7,,89:12:51.49 W,20:46:21.29 N,-89.214304,20.77258
