Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
05KTV0006V,1,MATUTINO,SECUNDARIA COMUNITARIA,BÁSICA,SECUNDARIA,COMUNITARIO,PÚBLICO,FEDERAL,5,COAHUILA DE ZARAGOZA,24,PARRAS,50,EL MESTEÑO,CALLE CONOCIDO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,27980,,,,,4,6,10,1,0,1,0,0,,101:52:8.40 W,25:32:13.92 N,-101.869,25.5372
05KJN0039X,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,5,COAHUILA DE ZARAGOZA,8,ESCOBEDO,8,OBAYOS,CALLE CONOCIDO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,25480,,,,,12,7,19,0,1,1,0,0,,101:21:50.40 W,27:26:17.52 N,-101.364,27.4382
05KJN0181L,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,5,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE,290,SAN IGNACIO,CALLE ENTRONQUE CARRETARA 54 CAMINO A PAREDON KILOMETRO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,4,1,5,0,1,1,0,0,,101:8:20.40 W,25:55:9.84 N,-101.139,25.9194
05PBT0227N,1,MATUTINO,COLEGIO DE ESPECIALIDADES DENTALES PIERRE FOURCHARD,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,5,COAHUILA DE ZARAGOZA,35,TORREÓN,1,TORREÓN,PROLONGACIÓN IGNACIO COMONFORT,0,CALLE DELICIAS,BOULEVARD REVOLUCION,NINGUNO NINGUNO,697,ZONA CENTRO,27000,8712673707,8712673707,,,,,,,,,,,,103:27:10.80 W,25:32:30.48 N,-103.453,25.5418
05DPR0437B,2,VESPERTINO,AMERICAS UNIDAS,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,5,COAHUILA DE ZARAGOZA,10,FRONTERA,1,FRONTERA,CALLE 20 DE NOVIEMBRE 113,113,CALLE OAXACA,CALLE PORFIRIO DIAZ,NINGUNO NINGUNO,19,OCCIDENTAL,25640,,,,,90,100,190,2,4,6,6,12,,101:26:56.40 W,26:55:33.96 N,-101.449,26.9261
05DPR0438A,1,MATUTINO,SIETE DE NOVIEMBRE,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,5,COAHUILA DE ZARAGOZA,35,TORREÓN,1,TORREÓN,CALLE PINABETES,0,ANDADOR EUCALIPTO,ANDADOR MORA,NINGUNO NINGUNO,241,HOGARES FERROCARRILEROS,27289,8717211767,8717211767,,,78,78,156,0,6,6,6,11,,103:27:10.80 W,25:32:30.48 N,-103.453,25.5418
05DJN1004E,1,MATUTINO,LUIS DONALDO COLOSIO MURRIETA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,5,COAHUILA DE ZARAGOZA,18,MONCLOVA,1,MONCLOVA,CALLE 42,1501,CALLE 5,CALLE 3,CALLE 40,12,21 DE MARZO,25747,8661728697,8661728697,,,45,51,96,0,3,3,3,3,,101:25:1.20 W,26:54:4.32 N,-101.417,26.9012
05DJN1043G,1,MATUTINO,IGNACIO MANUEL ALTAMIRANO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,5,COAHUILA DE ZARAGOZA,28,SABINAS,1,SABINAS,CALLE SIERRA HERMOSA NORTE 225,225,CALLE SIERRA DEL PINO,CALLE PICO ETEREO,NINGUNO NINGUNO,33,LAS LOMAS,26748,8616130583,8616130583,,,14,9,23,0,0,0,1,1,,101:7:12.00 W,27:50:56.04 N,-101.12,27.8489
05EPR0007K,1,MATUTINO,GENERAL FRANCISCO I. MADERO,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,5,COAHUILA DE ZARAGOZA,2,ACUÑA,1,CIUDAD ACUÑA,CALLE AQUILES SERDÁN,1012,CALLE ITURBIDE,CALLE GENERAL CEPEDA,CALLE PINO SUÁREZ,5,28 DE JUNIO,26250,8778881379,8778881379,,,62,54,116,0,6,6,6,6,,100:56:31.93 W,29:18:59.56 N,-100.942202,29.316544
05EPR0021D,2,VESPERTINO,CENTENARIO,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,5,COAHUILA DE ZARAGOZA,35,TORREÓN,1,TORREÓN,PROLONGACIÓN IGNACIO COMONFORT,0,CALLE DELICIAS,BOULEVARD REVOLUCION,NINGUNO NINGUNO,697,ZONA CENTRO,27000,8717112985,8717112985,,,62,47,109,5,1,6,6,20,,103:27:10.80 W,25:32:30.48 N,-103.453,25.5418
