Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
08DST0099A,1,MATUTINO,SECUNDARIA TÉCNICA 99,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,19,CHIHUAHUA,1,CHIHUAHUA,BOULEVARD ROMANZZA,0,CALLE LIBIA,AVENIDA TARANTO,CALLE POTENZA,774,ROMANZZA,31313,,,,,,,,,,,,,,106:1:54.48 W,28:41:2.49 N,-106.0318,28.684024
08KNM0045B,4,DISCONTINUO,PREESCOLAR PARA NI+ÆOS MIGRANTES,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,8,CHIHUAHUA,5,ASCENSIÓN,431,COLONIA EL CAMELLO,CALLE COLONIA EL CAMELLO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,,,,,,,,,,108:10:1.20 W,31:28:18.84 N,-108.167,31.4719
08KJN1017P,1,MATUTINO,JARDIN DE NIÑOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,8,CHIHUAHUA,47,MORIS,60,MESA COLORADA,CALLE MESA COLORADA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,4,2,6,0,1,1,0,0,,109:0:21.60 W,28:6:57.24 N,-109.006,28.1159
08DPR0764T,1,MATUTINO,JUSTO SIERRA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,8,BATOPILAS,159,EL REFUGIO (RANCHERÍA),NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,33400,,,,,12,9,21,0,0,0,1,1,,107:53:49.20 W,26:36:32.76 N,-107.897,26.6091
08KJN0880C,1,MATUTINO,JARDIN DE NIÑOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,8,CHIHUAHUA,9,BOCOYNA,203,EL YEPOSO,CALLE EL YEPOSO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,33210,,,,,1,7,8,0,1,1,0,0,,107:49:37.20 W,27:50:40.92 N,-107.827,27.8447
08KJN0314I,1,MATUTINO,JARDIN DE NIÑOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,8,CHIHUAHUA,14,CORONADO,10,CONQUISTA AGRARIA,CALLE CONQUISTA AGRARIA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,,,,,,,,,,105:9:39.60 W,26:37:59.88 N,-105.161,26.6333
08DJN0627Z,1,MATUTINO,HENRI WALLON,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,37,JUÁREZ,1,JUÁREZ,CALLE TACAMBARO,0,CALLE MALVAVISCO,CALLE JIQUILPAN,NINGUNO NINGUNO,1192,ERENDIRA,32690,6561705739,6561705739,,,60,53,113,0,3,3,4,4,,106:29:6.00 W,31:44:47.40 N,-106.485,31.7465
08DJN0635I,1,MATUTINO,12 DE OCTUBRE,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,37,JUÁREZ,1,JUÁREZ,CALLE TRES JACALES EL MILLON,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1190,EL MILLON,0,,,,,10,4,14,0,0,0,1,2,,106:29:6.00 W,31:44:47.40 N,-106.485,31.7465
08DJN0602R,1,MATUTINO,HELEN KELLER,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,40,MADERA,84,EL HURACÁN,CALLE CONSTITUCION,15,CALLE REFORMA,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,31952,,,,,12,10,22,0,0,0,2,2,,108:21:32.40 W,29:4:36.12 N,-108.359,29.0767
08DJN2082M,1,MATUTINO,RUFINO TAMAYO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,37,JUÁREZ,1,JUÁREZ,CALLE HUETZIN,0,CALLE TEZOZOMOC,CALLE PUERTO DUNQUERQUE,NINGUNO NINGUNO,1143,AGUILAS DE ZARAGOZA,32700,6561712550,6561712550,,,71,93,164,0,6,6,6,6,,106:29:6.00 W,31:44:47.40 N,-106.485,31.7465
08DCC0083I,1,MATUTINO,BENITO JUAREZ,BÁSICA,PREESCOLAR,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,8,BATOPILAS,219,MESA DE LA YERBABUENA,CALLE MESA YERBABUENA (LA YERBABUENA),0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,7,13,20,0,0,0,1,1,,0:0:0.00 W,933:0:0.00 N,0,933
08DCC0150Q,1,MATUTINO,24 DE FEBRERO,BÁSICA,PREESCOLAR,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,29,GUADALUPE Y CALVO,113,LLANO GRANDE,CALLE LLANO GRANDE,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,10,14,24,0,0,0,1,1,,107:6:10.80 W,26:16:35.04 N,-107.103,26.2764
08DJN0999Q,1,MATUTINO,MANUEL CERVANTES IMAZ,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,17,CUAUHTÉMOC,1,CUAUHTÉMOC,CALLE LUCRECIA CASAVANTEZ,320,CALLE JUSTO SIERRA,CALLE FRANCISCO ROMERO APODACA,NINGUNO NINGUNO,150,ELBA ESTHER GORDILLO,31500,6255836884,6255836884,,,55,55,110,0,4,4,4,5,,106:51:57.60 W,28:24:22.68 N,-106.866,28.4063
08DJN2072F,1,MATUTINO,ARTURO OROPEZA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,37,JUÁREZ,1,JUÁREZ,CALLE DOMINGO GARCIA,2366,PROLONGACIÓN DURANGO,CALLE SAN CIPRIANO,CALLE SAN CIPRIANO,1271,FRACCIONAMIENTO MISIONES DEL REAL,32000,656 2 62 1,656 2 62 1,,,91,88,179,0,6,6,6,6,,106:29:6.00 W,31:44:47.40 N,-106.485,31.7465
08DJN2033D,1,MATUTINO,ESTANCIA DE BIENESTAR Y DESARROLLO INFANTIL 64 ISSSTE (PREESC),BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,19,CHIHUAHUA,1,CHIHUAHUA,CALLE DIVISION DEL NORTE,3704,AVENIDA CRISTOBAL COLON,CALLE 39A,NINGUNO NINGUNO,30,ALTAVISTA,31200,6141685670,6141685670,,,67,67,134,0,5,5,6,6,,106:4:33.60 W,28:38:12.48 N,-106.076,28.6368
08DJN2171F,2,VESPERTINO,LUCIANO PAVAROTTI,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,37,JUÁREZ,1,JUÁREZ,CALLE NOPAL SUR,0,CALLE ALACRAN,CALLE SERPIENTE,NINGUNO NINGUNO,1217,FRACCIONAMIENTO COLINAS DEL NORTE,32700,,,,,53,49,102,1,2,3,4,4,,106:29:6.00 W,31:44:47.40 N,-106.485,31.7465
08DJN2315L,1,MATUTINO,FEDERICO GARCIA LORCA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,31,GUERRERO,97,SÁENZ,CALLE SAENZ,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,10,9,19,0,0,0,1,1,,107:21:3.60 W,28:29:52.80 N,-107.351,28.498
08DJN0073R,1,MATUTINO,TIERRA Y LIBERTAD,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,8,CHIHUAHUA,60,SANTA BÁRBARA,1,SANTA BÁRBARA,CALLE CRUZADA JUAREZ,0,CALLE LERDO,CALLE JUAREZ,NINGUNO NINGUNO,17,NINGUNO,0,,,,,49,59,108,0,4,4,4,4,,105:49:4.80 W,26:48:7.56 N,-105.818,26.8021
