Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
26DPB0161Q,1,MATUTINO,EMILIANO ZAPATA,BÁSICA,PRIMARIA,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,3,ALAMOS,224,SAN BERNARDO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,85775,,,,,8,9,17,0,0,0,1,1,,108:50:45.00 W,27:24:3.00 N,-108.845833,27.400833
26DPB0172W,1,MATUTINO,ESCUELA PRIMARIA NUEVA CREACION,BÁSICA,PRIMARIA,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,17,CABORCA,246,PLUTARCO ELÍAS CALLES (LA Y GRIEGA),NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,10,NINGUNO,83734,,,,,24,18,42,0,1,1,2,2,,112:43:5.84 W,30:48:6.36 N,-112.718288,30.801767
26DPB0179P,1,MATUTINO,ESCUELA PRIMARIA NUEVA CREACION,BÁSICA,PRIMARIA,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,3,ALAMOS,468,MOCHIBAMPO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,85770,,,,,11,6,17,0,0,0,1,1,,108:51:33.59 W,27:33:0.16 N,-108.859331,27.550044
26PBH0197A,1,MATUTINO,PREPARATORIA ALERCE,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PRIVADO,PRIVADO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE LLANO DORADO,380,CALLE RÍO ESCONDIDO,CALLE JUAN DE DIOS BOJÓRQUEZ,NINGUNO NINGUNO,274,EL LLANO,83210,6622607712,6622607712,,,,,,,,,,,,110:0:28.14 W,29:5:20.32 N,-110.007818,29.088979
26DST0062C,2,VESPERTINO,RICARDO MONTIJO MENDOZA,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,CALLE SINOQUIPE,0,CALLE SUAQUI,CALLE IGNACIO ZARAGOZA,NINGUNO NINGUNO,98,VERACRUZ,84076,3137232,3137232,,,291,317,578,4,7,11,17,17,,110:55:30.17 W,31:18:25.77 N,-110.925048,31.307157
26DST0062C,1,MATUTINO,RICARDO MONTIJO MENDOZA,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,CALLE SINOQUIPE,0,CALLE SUAQUI,CALLE IGNACIO ZARAGOZA,NINGUNO NINGUNO,98,VERACRUZ,84076,3137232,3137232,,,291,317,578,4,7,11,17,17,,110:55:30.17 W,31:18:25.77 N,-110.925048,31.307157
26DST0066Z,2,VESPERTINO,CUAUHTEMOC GARCIA VALLEJO,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE CAMPO VERDE,87,CALLE UNIDAD,CALLE CONCORDIA,CALLE NUDO MIXTECO,212,SOLIDARIDAD,83116,6622643433,6622643433,,,359,391,750,8,10,18,21,21,,111:0:6.58 W,29:8:29.58 N,-111.001828,29.14155
26DST0066Z,1,MATUTINO,CUAUHTEMOC GARCIA VALLEJO,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,30,HERMOSILLO,1,HERMOSILLO,CALLE CAMPO VERDE,87,CALLE UNIDAD,CALLE CONCORDIA,CALLE NUDO MIXTECO,212,SOLIDARIDAD,83116,6622643433,6622643433,,,359,391,750,8,10,18,21,21,,111:0:6.58 W,29:8:29.58 N,-111.001828,29.14155
26DST0080S,2,VESPERTINO,ESCUELA SECUNDARIA TECNICA NUM. 80,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,111,PIMA I,84020,,,,,203,181,384,7,9,14,14,14,,110:56:45.00 W,31:19:7.00 N,-110.945833,31.318611
26DST0080S,1,MATUTINO,ESCUELA SECUNDARIA TECNICA NUM. 80,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,26,SONORA,43,NOGALES,1,HEROICA NOGALES,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,111,PIMA I,84020,,,,,203,181,384,7,9,14,14,14,,110:56:45.00 W,31:19:7.00 N,-110.945833,31.318611
