Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
19DPR1920G,2,VESPERTINO,JUAN ANTONIO ESPARZA GARCIA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,19,NUEVO LEÓN,41,PESQUERÍA,456,VALLE DE SANTA MARÍA,AVENIDA SAN FERNANDO,0,CALLE PARMA,CALLE CARDO,CALLE NINGUNO,7,VALLE DE SANTA MARÍA,66670,,,,,99,85,184,1,7,8,8,9,,100:6:11.56 W,25:42:35.15 N,-100.103212,25.709763
19PPR0219W,1,MATUTINO,INSTITUTO EDINBURGH,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,19,NUEVO LEÓN,18,GARCÍA,1,GARCÍA,AVENIDA RUIZ CORTINES,5000,CALLE NINGUNO,CALLE CALZADA LAS MITRAS,CALLE NINGUNO,141,CIUDAD CUMBRES,66036,,,,,128,96,224,0,11,11,11,11,,100:27:25.36 W,25:46:13.37 N,-100.457045,25.77038
19KJN0256O,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,19,NUEVO LEÓN,38,MONTEMORELOS,759,LA TRINIDAD,CALLE COMUNIDAD LA TRINIDAD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,LA TRINIDAD,67501,,,,,1,0,1,0,1,1,0,0,,100:8:35.01 W,25:13:54.56 N,-100.143057,25.231823
19KJN0348E,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,19,NUEVO LEÓN,38,MONTEMORELOS,310,EL TORO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,EL TORO,67637,,,,,5,0,5,0,1,1,0,0,,99:50:5.58 W,24:58:34.09 N,-99.834882,24.976135
19PBT0292Q,1,MATUTINO,LICEO REGIOMONTANO COLUMBA RIVERA,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,19,NUEVO LEÓN,26,GUADALUPE,1,GUADALUPE,CALLE PABLO LIVAS,425,CALLE AZAFRÁN,CALLE GLADIOLA,CALLE AZAFRÁN,469,TRES CAMINOS SEGUNDO SECTOR,0,8183930085,8183930085,,,,,,,,,,,,100:11:15.12 W,25:39:27.76 N,-100.187533,25.65771
19PJN0284F,1,MATUTINO,COLEGIO SANTA CLARA,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,19,NUEVO LEÓN,39,MONTERREY,1,MONTERREY,CALLE PEDRO INFANTE,5653,CALLE CIUDAD DE PALENCIA,CALLE AGUALEGUAS,CALLE CIUDAD ANDORRA,202,HACIENDA SANTA CLARA,64346,8183105364,8183105364,,,36,37,73,0,5,5,5,5,,100:23:32.81 W,25:44:35.81 N,-100.392448,25.743281
19KJN0040P,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,19,NUEVO LEÓN,38,MONTEMORELOS,60,CIENEGUILLAS,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,4,CIENEGUILLAS,67501,,,,,4,2,6,0,1,1,0,0,,99:51:33.44 W,25:6:47.01 N,-99.859289,25.113059
19KJN0451R,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,19,NUEVO LEÓN,7,ARAMBERRI,146,EL MUERTO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,EL MUERTO,67944,,,,,4,1,5,0,1,1,0,0,,99:50:43.84 W,24:5:38.31 N,-99.845511,24.093975
19KJN0695M,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,19,NUEVO LEÓN,9,CADEREYTA JIMÉNEZ,117,SAN DIEGO Y MOLINO VIEJO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,SAN DIEGO Y MOLINO VIEJO,67481,,,,,4,0,4,0,1,1,0,0,,99:46:47.44 W,25:35:1.45 N,-99.779844,25.583735
19PES0126Z,1,MATUTINO,COLEGIO CLUB DE LEONES NUM. 1,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,19,NUEVO LEÓN,39,MONTERREY,1,MONTERREY,CALLE GENERAL BERNARDO REYES,3751,CALLE FRANCISCO LEÓN DE LA BARRA,CALLE GENERAL MANUEL GONZÁLEZ,CALLE LUIS MORENO,325,NIÑO ARTILLERO,64280,8183512539,8183512539,,,65,81,146,2,6,8,9,9,,100:19:39.55 W,25:42:40.08 N,-100.327653,25.711132
19PPR0062M,1,MATUTINO,"""LICEO ANGLO FRANCES DE MONTERREY, A.C.""",BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,19,NUEVO LEÓN,19,SAN PEDRO GARZA GARCÍA,1,SAN PEDRO GARZA GARCÍA,CALLE RÍO DE LA PLATA,108,CALLE RÍO TAMAZUNCHALE,CALLE RÍO GRIJALVA,CALZADA DEL VALLE,51,DEL VALLE,66220,82204500,82204500,,,184,185,369,1,16,17,17,24,,100:22:1.90 W,25:39:27.50 N,-100.367194,25.657639
19EJN0576O,2,VESPERTINO,FOMERREY 1,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,19,NUEVO LEÓN,39,MONTERREY,1,MONTERREY,CAMINO REAL,0,CALLE JOSÉ DE SAN MARTÍN,CALLE BARTOLOMÉ MITRE,CALLE EL REALITO,246,LA REFORMA,0,8121677999,8121677999,,,44,31,75,0,4,4,4,4,,100:21:21.96 W,25:45:28.54 N,-100.3561,25.757928
19EJN0139O,1,MATUTINO,PROFR. ALVARO AYALA SIERRA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,19,NUEVO LEÓN,39,MONTERREY,1,MONTERREY,CALLE BLANCO DE LA PEÑA,0,NINGUNO NINGUNO,CALLE BALCONES,CALLE MIRASILLA,42,BALCONES DE ALTAVISTA,64770,8183586507,8183586507,,,40,31,71,0,4,4,4,5,,100:17:45.02 W,25:38:25.11 N,-100.29584,25.640308
19EJN0172W,1,MATUTINO,ANTONIO CASO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,19,NUEVO LEÓN,9,CADEREYTA JIMÉNEZ,161,VALLE HIDALGO (EL QUEMADO),NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,VALLE HIDALGO (EL QUEMADO),67498,,,,,7,6,13,0,0,0,1,1,,99:50:53.66 W,25:22:29.85 N,-99.848239,25.374959
