Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
02EJN0031X,1,MATUTINO,FERROCARRIL SONORA BAJA CALIFORNIA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,2,BAJA CALIFORNIA,2,MEXICALI,1,MEXICALI,CALLE MISIÓN SAN LORETO,0,CALLE SIERRA DE JUÁREZ,CALLE SIERRA CUCAPÁH,CALLE MISIÓN DE MAGDALENA,60,ESTACIÓN DEL FERROCARRIL,0,6865571718,6865571718,,,24,26,50,0,3,3,3,3,,115:28:12.00 W,32:37:55.20 N,-115.47,32.632
02EJN0143A,1,MATUTINO,IGNACIO COMONFORT,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,AVENIDA ROMA,17,CALLE BERLÍN,NINGUNO NINGUNO,NINGUNO NINGUNO,104,EL CORTEZ,22600,6646367393,6646367393,,,67,59,126,0,5,5,5,5,,117:4:48.00 W,32:29:49.20 N,-117.08,32.497
02EJN0144Z,2,VESPERTINO,NOE DE LA PEÑA HERNANDEZ,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,2,BAJA CALIFORNIA,2,MEXICALI,1,MEXICALI,AVENIDA RÍO CHAMPOTÓN,250,CALLE CUARTA,CALLE TERCERA,NINGUNO NINGUNO,75,GONZÁLEZ ORTEGA,21397,6865613473,6865613473,,,44,46,90,0,6,6,6,6,,115:28:12.00 W,32:37:55.20 N,-115.47,32.632
02EJN0234S,2,VESPERTINO,MARBELLA AGUILAR PERALTA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,2,BAJA CALIFORNIA,1,ENSENADA,1,ENSENADA,AVENIDA JIMÉNEZ,287,CALLE 16 DE SEPTIEMBRE,CALZADA DE LAS ÁGUILAS,AVENIDA NICOLÁS BRAVO,56,INDEPENDENCIA,22840,6462043777,6462043777,,,39,44,83,0,4,4,4,4,,116:35:60.00 W,31:48:18.00 N,-116.6,31.805
02EPR0122E,1,MATUTINO,RODOLFO SANCHEZ TABOADA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,2,BAJA CALIFORNIA,2,MEXICALI,238,EJIDO NUEVO MICHOACÁN DE BAJA CALIFORNIA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NUEVO MICHOACÁN DE BAJA CALIFORNIA,0,6861698733,6861698733,,,22,22,44,0,2,2,3,3,,115:28:12.00 W,32:37:55.20 N,-115.47,32.632
02PBH0256Q,1,MATUTINO,CENTRO DE ENSEÑANZA TECNICA Y SUPERIOR,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,2,MEXICALI,1,MEXICALI,CALZADA CETYS,0,CALZADA MANUEL GÓMEZ MORÍN,BOULEVARD VENUSTIANO CARRANZA,NINGUNO NINGUNO,683,RIVERA,21259,6865673700,6865673700,,,,,,,,,,,,115:28:12.00 W,32:37:55.20 N,-115.47,32.632
02PJN0857C,1,MATUTINO,EL JARDIN DE LOS SUEÑOS,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,2,MEXICALI,1,MEXICALI,CALZADA MANUEL GÓMEZ MORÍN (PERIFÉRICO ORIENTE),2146,NINGUNO NINGUNO,BOULEVARD LÁZARO CÁRDENAS,CALZADA MACRISTY DE HERMOSILLO,398,RANCHO LA BODEGA,21379,6865237400,6865237400,,,,,,,,,,,,115:25:4.17 W,32:37:21.25 N,-115.417825,32.622569
02PSU0178X,4,DISCONTINUO,CENTRO DE ENSEÑANZA Y CAPACITACIÓN DE ESTUDIOS SUPERIORES DE BAJA CALIFORNIA,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,BOULEVARD GUSTAVO DÍAZ ORDAZ,4141,CALLE GARDENIAS,AVENIDA DE LAS AMERICAS ORIENTE,AVENIDA DE LAS FERIAS,229,JARDINES DE SAN CARLOS,22106,6642160551,6642160551,,,,,,,,,,,,116:59:11.14 W,32:38:10.49 N,-116.986429,32.636248
02PSU0176Z,4,DISCONTINUO,CENTRO EDUCATIVO PARA LA FORMACION INTEGRAL EN BC,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PRIVADO,PRIVADO,2,BAJA CALIFORNIA,4,TIJUANA,1,TIJUANA,BOULEVARD GUSTAVO DÍAZ ORDAZ,14901,CALLE ERMITA SUR,CALLE SOR JUANA INÉS DE LA CRUZ,CALLE SANTA INÉS,440,REYNOSO,22106,6649779947,6649779947,,,,,,,,,,,,116:58:40.04 W,32:30:17.98 N,-116.977789,32.504994
02DTA0004D,1,MATUTINO,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 328,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,FEDERAL,2,BAJA CALIFORNIA,2,MEXICALI,227,EJIDO SINALOA (ESTACIÓN KASEY),CALLE MIGUEL HIDALGO,135,CALLE SEGUNDA,CALLE GABRIEL LEYVA,CALLE EMILIANO ZAPATA,1,NINGUNO,21620,6585174578,6585174578,,,,,,,,,,,,115:16:17.77 W,32:32:46.89 N,-115.271603,32.546359
