Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
27EJN0351Q,1,MATUTINO,ELENA ZALAYA LARA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,8,HUIMANGUILLO,49,MACAYO Y NARANJO 2DA. SECCIÓN,NINGUNO CARRETERA ESTATAL LIBRE TRAMO MACAYO Y NARANJO 1RA. SECCIÓN-MACAYO Y NARANJO 2DA. SECCIÓN KILÓMETRO 5+500,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,MACAYO Y NARANJO 2DA. SECCIÓN,86406,,,,,11,11,22,0,0,0,1,1,,93:21:7.70 W,17:55:34.61 N,-93.352139,17.926281
27DPR0086Z,1,MATUTINO,FLORENTINO HERNANDEZ BAUTISTA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,4,CENTRO,121,LÁZARO CÁRDENAS 1RA. SECCIÓN,CALLE RANCHERIA LAZARO CARDENAS PRIMERA SECCION,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86280,3145360,3145360,,,32,33,65,0,1,1,2,2,,93:0:46.08 W,17:59:57.12 N,-93.0128,17.9992
27DPR0098E,1,MATUTINO,GRAL. EMILIANO ZAPATA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,4,CENTRO,89,ESTANCIA,CALLE RANCHERIA LA ESTANCIA VILLA TAMULTE DE LAS SABANAS,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86253,,,,,83,86,169,2,4,6,6,8,,92:48:47.52 W,18:10:51.24 N,-92.8132,18.1809
27DJN1187O,1,MATUTINO,MARIA ROSA SALAZAR CARDENAS,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,5,COMALCALCO,80,IGNACIO ZARAGOZA 3RA. SECCIÓN,CALLE RANCHERIA IGNACIO ZARAGOZA TERCERA SECCION,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86640,1076849,1076849,,,40,33,73,0,2,2,3,3,,93:19:58.08 W,18:22:15.24 N,-93.3328,18.3709
27DJN1190B,1,MATUTINO,JUAN ESCUTIA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,8,HUIMANGUILLO,473,LA LUCHA,CALLE EJIDO LA LUCHA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86400,,,,,10,9,19,0,0,0,1,1,,93:28:6.96 W,17:44:4.20 N,-93.4686,17.7345
27ECB0041Y,1,MATUTINO,COLEGIO DE BACHILLERES PLANTEL NUM. 37,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,27,TABASCO,4,CENTRO,176,MACULTEPEC,CALLE TERCER MILENIO VILLA MACULTEPEC,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,MACULTEPEC,86250,3150622,3150622,,,,,,,,,,,,92:51:32.40 W,18:8:36.24 N,-92.859,18.1434
27ECB0041Y,2,VESPERTINO,COLEGIO DE BACHILLERES PLANTEL NUM. 37,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,27,TABASCO,4,CENTRO,176,MACULTEPEC,CALLE TERCER MILENIO VILLA MACULTEPEC,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,MACULTEPEC,86250,3150622,3150622,,,,,,,,,,,,92:51:32.40 W,18:8:36.24 N,-92.859,18.1434
27ECT0012S,1,MATUTINO,INSTITUTO DE DIFUSION TECNICA NUM. 14,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,ESTATAL,27,TABASCO,3,CENTLA,251,CONSTANCIA Y VENECIA,CALLE FRAMBOYANES,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86750,,,,,,,,,,,,,,92:49:28.56 W,18:26:6.00 N,-92.8246,18.435
27ETV0375P,1,MATUTINO,JUAN ANTONIO PEREGRINO LOPEZ,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,10,JALPA DE MÉNDEZ,17,HUAPACAL 2DA. SECCIÓN (PUNTA BRAVA),CALLE RANCHERIA PUNTA BRAVA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86200,370902,370902,,,67,72,139,4,2,6,8,8,,93:10:21.72 W,18:11:51.00 N,-93.1727,18.1975
27ETV0404U,1,MATUTINO,MARGARITA LARA SANCHEZ,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,2,CÁRDENAS,175,CARLOS ALBERTO WILSON GÓMEZ,CALLE COLONIA CARLOS ALBERTO WILSON GOMEZ,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86490,389562,389562,,,33,25,58,0,2,2,3,3,,93:19:49.08 W,18:0:53.28 N,-93.3303,18.0148
27EES0017W,1,MATUTINO,CUAUHTEMOC,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,13,NACAJUCA,18,MAZATEUPA,CALLE LA MANGA,0,CALLE NINGUNO,CALLE NINGUNO,NINGUNO NINGUNO,2,MAZATEUPA,86230,,,,,248,254,502,10,6,16,13,13,,93:0:39.64 W,18:12:22.58 N,-93.01101,18.206272
27EJN0012R,1,MATUTINO,ELBA HERNANDEZ VDA. DE SOTO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,14,PARAÍSO,24,ORIENTE (SAN CAYETANO),CALLE EJIDO ORIENTE (SAN CAYETANO),0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,86600,,,,,52,43,95,0,2,2,3,3,,93:12:18.00 W,18:20:53.52 N,-93.205,18.3482
27DST0028V,2,VESPERTINO,SECUNDARIA TECNICA 28,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,4,CENTRO,1,VILLAHERMOSA,CALLE CHOCO TABASQUEÑO,0,CALLE PEPE DEL RIVERO,CALLE ALFONSO VICENS SALDÍVAR,CALLE PACO SOLÍS,261,GAVIOTAS NORTE,86068,2666414,2666414,,,380,370,716,18,12,30,18,18,,92:55:3.24 W,17:58:57.31 N,-92.917568,17.982586
27DST0028V,1,MATUTINO,SECUNDARIA TECNICA 28,BÁSICA,SECUNDARIA,TÉCNICA,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,4,CENTRO,1,VILLAHERMOSA,CALLE CHOCO TABASQUEÑO,0,CALLE PEPE DEL RIVERO,CALLE ALFONSO VICENS SALDÍVAR,CALLE PACO SOLÍS,261,GAVIOTAS NORTE,86068,2666414,2666414,,,380,370,716,18,12,30,18,18,,92:55:3.24 W,17:58:57.31 N,-92.917568,17.982586
27ECB0025G,1,MATUTINO,COLEGIO DE BACHILLERES PLANTEL NUM. 23,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,27,TABASCO,1,BALANCÁN,74,EL TRIUNFO,CALLE VILLA EL TRIUNFO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,7,EL TRIUNFO,86950,3460300,3460300,,,,,,,,,,,,91:10:13.80 W,17:55:23.16 N,-91.1705,17.9231
27ECB0025G,2,VESPERTINO,COLEGIO DE BACHILLERES PLANTEL NUM. 23,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,27,TABASCO,1,BALANCÁN,74,EL TRIUNFO,CALLE VILLA EL TRIUNFO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,7,EL TRIUNFO,86950,3460300,3460300,,,,,,,,,,,,91:10:13.80 W,17:55:23.16 N,-91.1705,17.9231
27ETV0465H,1,MATUTINO,LUIS DONALDO COLOSIO MURRIETA,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,3,CENTLA,6,BUENA VISTA,CALLE RANCHERIA BUENA VISTA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86754,5938727,5938727,,,28,28,56,0,2,2,3,3,,92:52:21.00 W,18:21:23.76 N,-92.8725,18.3566
27ETV0441Y,1,MATUTINO,NIÑOS HEROES,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,3,CENTLA,114,FRONTERITA,CALLE EJIDO FRONTERITA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86750,2224943,2224943,,,66,51,117,2,4,6,5,5,,92:49:38.28 W,18:25:5.16 N,-92.8273,18.4181
27DJN0501H,1,MATUTINO,MARIA MONTESSORI,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,3,CENTLA,62,LA VICTORIA,CALLE EJIDO LA VICTORIA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86750,,,,,15,28,43,0,1,1,2,2,,92:38:8.52 W,18:35:24.36 N,-92.6357,18.5901
27DJN1248L,1,MATUTINO,JOSE VASCONCELOS,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,11,JONUTA,7,BOCA DE SAN ANTONIO,CALLE POBLADO BOCA DE SAN ANTONIO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86780,1234567,1234567,,,8,7,15,0,0,0,1,1,,92:0:5.04 W,17:56:44.88 N,-92.0014,17.9458
27DPB0123M,1,MATUTINO,LAZARO CARDENAS DEL RIO,BÁSICA,PRIMARIA,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,12,MACUSPANA,210,BENITO JUÁREZ,CALLE EJIDO BENITO JUAREZ,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86700,1073210,1073210,,,19,22,41,1,0,1,2,2,,92:32:32.28 W,17:50:9.24 N,-92.5423,17.8359
27DPR0279O,1,MATUTINO,PROFR. ELPIDIO LOPEZ ESCOBAR,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,5,COMALCALCO,1,COMALCALCO,CALLE LOS ANGELES,0,CALLE SALVINO SOMELLERA,CALLE NACAJUCA,CALLE PROLONGACIÓN DE CORREGIDORA,24,SAN ISIDRO,86357,3340799,3340799,,,258,274,532,4,11,15,15,15,,93:13:30.00 W,18:15:57.60 N,-93.225,18.266
27DPR0359Z,1,MATUTINO,LIC. CARLOS A. MADRAZO,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,10,JALPA DE MÉNDEZ,35,SANTUARIO 1RA. SECCIÓN,CALLE RANCHERIA SANTUARIO PRIMERA SECCION,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86200,3370069,3370069,,,51,55,106,0,3,3,4,4,,93:3:27.72 W,18:11:56.04 N,-93.0577,18.1989
27EJN0077A,1,MATUTINO,ISABEL DIAZ DE BARTLETT,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,8,HUIMANGUILLO,1,HUIMANGUILLO,CALLE IGNACIO ALLENDE,28,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,CENTRO,0,,,,,139,133,272,1,8,9,9,9,,93:23:26.88 W,17:50:6.72 N,-93.3908,17.8352
27EJN0241K,1,MATUTINO,MANUEL LOPEZ VERA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,8,HUIMANGUILLO,433,EL DORADO,CALLE COLONIA EL DORADO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86400,,,,,19,23,42,0,1,1,2,2,,93:21:59.04 W,17:53:8.16 N,-93.3664,17.8856
27EJN1511U,1,MATUTINO,FRIDA KAHLO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,6,CUNDUACÁN,84,LIBERTAD 5TA. SECCIÓN,NINGUNO CARRETERA MUNICIPAL LIBRE TRAMO LIBERTAD - AMADO GÓMEZ KILÓMETRO 2+000,0,CALLE NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,LIBERTAD QUINTA SECCIÓN,86684,,,,,15,13,28,0,0,0,1,1,,93:22:52.20 W,18:9:53.55 N,-93.381166,18.164874
27ETV0440Z,1,MATUTINO,LUIS DONALDO COLOSIO MURRIETA,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,8,HUIMANGUILLO,23,EL ENCOMENDERO,CALLE COLONIA ENCOMENDERO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86400,3724022,3724022,,,10,10,20,0,0,0,1,2,,93:35:24.72 W,17:47:47.40 N,-93.5902,17.7965
27DJN0692O,1,MATUTINO,ALVARO OBREGON,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,17,TENOSIQUE,97,ÁLVARO OBREGÓN,CALLE EJIDO ALVARO OBREGON,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86902,1047578,1047578,,,22,28,50,0,1,1,2,2,,91:13:43.68 W,17:17:23.64 N,-91.2288,17.2899
27DJN1185Q,1,MATUTINO,FILIDA CASTILLO ROMERO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,27,TABASCO,5,COMALCALCO,74,CARLOS GREENE 3RA. SECCIÓN,CALLE RANCHERIA CARLOS GREENE TERCERA SECCION,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86660,,,,,32,24,56,0,1,1,2,2,,93:27:20.52 W,18:14:27.24 N,-93.4557,18.2409
27EJN0259J,1,MATUTINO,CONSTANCIA FERNANDEZ VDA. DE GIORGANA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,27,TABASCO,12,MACUSPANA,16,BELÉN,CALLE RANCHERIA BELEN,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,5,NINGUNO,86711,1234546,1234546,,,28,26,54,0,1,1,2,2,,92:36:50.04 W,17:47:18.60 N,-92.6139,17.7885
27ETV0022N,1,MATUTINO,CARLOS PELLICER CAMARA,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,13,NACAJUCA,27,SAMARKANDA,CALLE CARRETERA ESTATAL LIBRE TRAMO VILLAHERMOSA-MEDELLIN,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86281,1993762,1993762,,,123,89,212,4,4,8,8,9,,92:54:41.04 W,18:2:28.68 N,-92.9114,18.0413
27ETV0112F,1,MATUTINO,REVOLUCION,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,27,TABASCO,13,NACAJUCA,12,EL GUÁSIMO,CALLE RANCHERIA EL GUACIMO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,86220,1980110,1980110,,,22,23,45,2,1,3,3,3,,92:55:54.12 W,18:7:44.76 N,-92.9317,18.1291
