Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
10KPR0744D,4,DISCONTINUO,PRIMARIA COMUNITARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,10,DURANGO,37,TOPIA,53,LA CIENEGUITA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,34540,6741280615,6741280615,,,5,4,9,0,1,1,0,0,,106:35:35.31 W,25:17:1.02 N,-106.593141,25.283617
10KPR0782G,4,DISCONTINUO,PRIMARIA COMUNITARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,10,DURANGO,26,SAN DIMAS,40,EL GATO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,34691,,,,,4,1,5,0,1,1,0,0,,105:48:22.78 W,23:48:14.70 N,-105.806328,23.804084
10EBA0023K,3,NOCTURNO,DONATO GUERRA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,5,DURANGO,1,VICTORIA DE DURANGO,CALLE LEY DE ASENTAMIENTOS HUMANOS,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,809,LEY DE ASENTAMIENTOS HUMANOS,34210,,,,,,,,,,,,,,104:39:16.00 W,24:1:22.00 N,-104.654444,24.022778
10ECB0008Q,1,MATUTINO,COLEGIO DE BACHILLERES PLANTEL NUM. 08,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,10,DURANGO,15,NAZAS,1,NAZAS,CALLE VICENTE GUERRERO,0,CALLE NAZAS DURANGO,CALLE AZUCENAS,CALLE ARROYO DE LA MAQUINA,13,NINGUNO,35700,6717660222,6717660222,,,,,,,,,,,,104:6:42.13 W,25:13:17.16 N,-104.111703,25.221432
10DTV0136P,1,MATUTINO,TELESECUNDARIA NUM. 136,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO,10,DURANGO,24,RODEO,4,LOS AMOLES,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,35791,,,,,6,3,9,0,0,0,1,4,,104:26:58.53 W,25:7:51.59 N,-104.449593,25.130996
10DTV0139M,1,MATUTINO,TELESECUNDARIA NUM. 139,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO,10,DURANGO,26,SAN DIMAS,112,VERACRUZ DE LA SIERRA (EL PUEBLO),NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,34682,,,,,7,12,19,0,0,0,1,3,,105:33:54.31 W,24:29:51.35 N,-105.565085,24.497598
10EPR0040D,1,MATUTINO,NUM. 8 MTRO FRANCISCO GONZALEZ DE LA VEGA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,5,DURANGO,1,VICTORIA DE DURANGO,CALLE CASTAÑEDA,600,BOULEVARD FELIPE PESCADOR,CALLE ORESTES PEREYRA,NINGUNO NINGUNO,283,ZONA CENTRO,0,8 27 46 09,8 27 46 09,,,114,135,249,2,9,11,12,12,,104:39:47.55 W,24:2:5.15 N,-104.663209,24.034765
10EMS0005Z,1,MATUTINO,EDUCACION MEDIA SUPERIOR A DISTANCIA CANELAS,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,10,DURANGO,2,CANELAS,1,CANELAS,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,8,NINGUNO,34500,6748640119,6748640119,,,,,,,,,,,,106:32:42.65 W,25:7:17.12 N,-106.545181,25.121422
10EES0010C,2,VESPERTINO,JESUS REYES HEROLES,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,5,DURANGO,1,VICTORIA DE DURANGO,AVENIDA ESTRONCIO,0,CALLE SIGMA,ANDADOR DE JUAREZ,NINGUNO NINGUNO,42,BOSQUES DEL VALLE,34227,,,,,268,259,527,16,26,41,16,18,,104:36:29.04 W,24:3:10.04 N,-104.608068,24.052789
10EES0010C,1,MATUTINO,JESUS REYES HEROLES,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,5,DURANGO,1,VICTORIA DE DURANGO,AVENIDA ESTRONCIO,0,CALLE SIGMA,ANDADOR DE JUAREZ,NINGUNO NINGUNO,42,BOSQUES DEL VALLE,34227,,,,,268,259,527,16,26,41,16,18,,104:36:29.04 W,24:3:10.04 N,-104.608068,24.052789
10EES0019U,2,VESPERTINO,RAFAEL RAMIREZ CASTAÑEDA,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,7,GÓMEZ PALACIO,1,GÓMEZ PALACIO,CALLE JUAN JOSE ARREOLA,0,CALLE VIRGINIA LEYVA,CALLE REPUBLICA POPULAR CHINA,NINGUNO NINGUNO,241,EL MEZQUITAL 1,35000,,,,,226,225,451,11,17,28,13,13,,103:30:7.87 W,25:37:12.50 N,-103.502186,25.620138
10EPR0438L,2,VESPERTINO,PATRIA Y LIBERTAD,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,5,DURANGO,1,VICTORIA DE DURANGO,AVENIDA NELLIE CAMPOBELLO,0,CALLE GUINDOS,CALLE DURAZNOS,NINGUNO NINGUNO,800,JOSE ANTONIO RAMIREZ,34000,,,,,73,71,144,1,5,6,6,6,,104:41:38.99 W,24:1:34.53 N,-104.694164,24.026259
10EPR0439K,1,MATUTINO,RAMON G BONFIL,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,ESTATAL,10,DURANGO,35,TEPEHUANES,1,SANTA CATARINA DE TEPEHUANES,CALLE POLO RIOS,0,CALLE PLUTARCO ELIAS S,CALLE CLUTIER,NINGUNO NINGUNO,15,NINGUNO,0,6748133970,6748133970,,,63,51,114,4,2,6,6,6,,105:43:30.87 W,25:20:59.52 N,-105.725243,25.349866
10KPB0049E,4,DISCONTINUO,CURSO COMUNITARIO DE EDUCACION INDIGENA PAEPI,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,10,DURANGO,14,MEZQUITAL,506,LA CUEVA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,34980,6751290143,6751290143,,,6,2,8,0,1,1,0,0,,104:38:19.97 W,22:47:56.09 N,-104.638881,22.798913
