Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
23DPB0086C,1,MATUTINO,20 DE NOVIEMBRE,BÁSICA,PRIMARIA,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,6,JOSÉ MARÍA MORELOS,135,PUERTO ARTURO,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,0,,,,,42,55,97,0,6,6,6,6,,89:3:58.57 W,19:39:39.85 N,-89.06627,19.66107
23DPR0084F,1,MATUTINO,RAFAEL E. MELGAR,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,7,LÁZARO CÁRDENAS,1,KANTUNILKÍN,CALLE NINGUNO,0,CALLE IGNACIO ALLENDE,CALLE NINGUNO,CALLE NINGUNO,9,NINGUNO,77369,,,,,56,39,95,2,1,3,4,5,,87:29:30.77 W,20:59:1.61 N,-87.49188,20.98378
23DCC0093H,1,MATUTINO,CECILIO CHI,BÁSICA,PREESCOLAR,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,2,FELIPE CARRILLO PUERTO,34,CHANCAH VERACRUZ,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,0,,,,,26,12,38,0,2,2,2,2,,87:59:40.06 W,19:29:48.41 N,-87.99446,19.49678
23DPR0499D,1,MATUTINO,FRANCISCO GABILONDO SOLER,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,4,OTHÓN P. BLANCO,1,CHETUMAL,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,107,NINGUNO,0,,,,,22,20,42,2,0,2,2,2,,89:20:37.36 W,18:10:44.72 N,-89.34371,18.17909
23DPR0526K,2,VESPERTINO,JESUS GARCIA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,2,FELIPE CARRILLO PUERTO,248,TEPICH,CALLE MAYA LUUM,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,4,NINGUNO,0,,,,,126,136,262,6,3,9,9,10,,88:15:24.44 W,20:14:27.64 N,-88.25679,20.24101
23KPR0141Q,1,MATUTINO,CURSOS COMUNITARIOS PRIMARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,23,QUINTANA ROO,4,OTHÓN P. BLANCO,372,CALIFORNIA,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,2,NINGUNO,0,9838322145,9838322145,,,5,10,15,0,1,1,0,0,,89:3:46.19 W,18:46:9.70 N,-89.06283,18.76936
23ETK0022L,2,VESPERTINO,TELEBACHILLERATO COMUNITARIO EL TINTAL,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,23,QUINTANA ROO,7,LÁZARO CÁRDENAS,39,EL TINTAL,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,77366,,,,,,,,,,,,,,87:27:54.83 W,20:53:34.66 N,-87.46523,20.89296
23ETK0032S,2,VESPERTINO,TELEBACHILLERATO COMUNITARIO AKUMAL,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,23,QUINTANA ROO,9,TULUM,5,AKUMAL,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,2,CENTRO,77737,,,,,,,,,,,,,,87:19:23.52 W,20:24:8.64 N,-87.3232,20.4024
23KTV0069W,1,MATUTINO,SECUNDARIA COMUNITARIA,BÁSICA,SECUNDARIA,COMUNITARIO,PÚBLICO,FEDERAL,23,QUINTANA ROO,10,BACALAR,75,EL PARAÍSO,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,77910,,,,,3,3,6,1,0,1,0,0,,0:0:0.00 W,0:0:0.00 S,0,0
23DPR0350M,1,MATUTINO,NACHI COCOM,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,6,JOSÉ MARÍA MORELOS,38,SACZUQUIL,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,77890,,,,,17,16,33,1,1,2,2,3,,88:58:39.61 W,19:47:8.56 N,-88.97767,19.78571
23DPR0446Z,2,VESPERTINO,IGNACIO ZARAGOZA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,AVENIDA YAXCHE,0,CALLE THO,CALLE TZUCACAB,CALLE NINGUNO,286,MORELOS,77515,,,,,124,106,230,6,3,9,9,12,,86:51:35.50 W,21:9:24.41 N,-86.85986,21.15678
23DCC0105W,1,MATUTINO,GABRIELA MISTRAL,BÁSICA,PREESCOLAR,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,2,FELIPE CARRILLO PUERTO,399,JOSÉ MARÍA PINO SUÁREZ,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,0,,,,,8,12,20,0,1,1,1,1,,88:7:2.50 W,19:48:19.84 N,-88.11736,19.80551
23DCC0126I,4,DISCONTINUO,20 DE NOVIEMBRE,BÁSICA,PREESCOLAR,INDÍGENA,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,6,JOSÉ MARÍA MORELOS,308,SAN ISIDRO PONIENTE,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,1,NINGUNO,77890,,,,,9,7,16,0,1,1,1,1,,88:53:16.40 W,19:19:45.59 N,-88.88789,19.32933
23DPR0138T,1,MATUTINO,MIGUEL HIDALGO Y COSTILLA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,PROLONGACIÓN TULUM,0,DIAGONAL TULUM,AVENIDA FRANCISCO I MADERO,CALLE NINGUNO,69,65,77510,,,,,205,201,406,4,8,12,12,12,,86:49:40.87 W,21:10:39.97 N,-86.82802,21.17777
23DPR0459C,1,MATUTINO,CONSTITUCION DE 1917,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,CALLE 55,0,CALLE 50 PONIENTE,CALLE 48 PONIENTE,CALLE NINGUNO,88,91,77516,,,,,202,200,402,3,9,12,12,12,,86:50:46.25 W,21:10:26.00 N,-86.84618,21.17389
23DES0037O,2,VESPERTINO,CARLOS FUENTES,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,PRIVADA 20 DE NOVIEMBRE,0,RETORNO AZUCENAS,CALLE PALMA MEXICANA,CALLE PALMA REAL,346,VILLAS OTOCH PARAISO,77539,,,,,352,344,696,15,16,31,18,18,,86:54:48.49 W,21:9:11.59 N,-86.91347,21.15322
23DES0037O,1,MATUTINO,CARLOS FUENTES,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,PRIVADA 20 DE NOVIEMBRE,0,RETORNO AZUCENAS,CALLE PALMA MEXICANA,CALLE PALMA REAL,346,VILLAS OTOCH PARAISO,77539,,,,,352,344,696,15,16,31,18,18,,86:54:48.49 W,21:9:11.59 N,-86.91347,21.15322
23DJN0296S,1,MATUTINO,RAFAEL RAMIREZ CASTAÑEDA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,321,SANTA CECILIA,77500,,,,,25,27,52,0,1,1,2,2,,86:55:8.40 W,21:6:55.58 N,-86.919,21.11544
23DPR0656D,2,VESPERTINO,EDUARDO PRIEGO LEON,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,8,SOLIDARIDAD,1,PLAYA DEL CARMEN,CALLE 38 NORTE,0,CERRADA 35 NORTE,CALLE 45 NORTE,CALLE NINGUNO,159,ZACIL HA,77710,,,,,276,218,494,4,11,15,15,15,,87:4:18.88 W,20:38:22.60 N,-87.07191,20.63961
23DPR0816A,1,MATUTINO,CECILIO CHI,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,8,SOLIDARIDAD,1,PLAYA DEL CARMEN,CALLE NINGUNO,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,145,NINGUNO,77723,,,,,123,108,231,3,4,7,7,7,,0:0:0.00 W,0:0:0.00 S,0,0
23DPR0618A,2,VESPERTINO,LA VOZ DE MI PATRIA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,CALLE 163,0,AVENIDA MIGUEL HIDALGO,CALLE NINGUNO,CALLE NINGUNO,295,NINGUNO,77500,,,,,144,131,275,4,4,8,8,13,,86:53:46.39 W,21:8:50.28 N,-86.89622,21.1473
23DJN0276E,1,MATUTINO,MARIA LAVALLE URBINA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,CALLE 100,0,CALLE 32,CALLE 34,CALLE 98,133,227,77500,,,,,78,86,164,0,6,6,6,6,,86:50:56.26 W,21:11:30.66 N,-86.84896,21.19185
23DJN0288J,1,MATUTINO,THOMAS ALBA EDISON,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,23,QUINTANA ROO,5,BENITO JUÁREZ,1,CANCÚN,CIRCUITO JADE,0,CALLE NINGUNO,CALLE NINGUNO,CALLE NINGUNO,250,EL PEDRGAL,77500,,,,,16,29,45,0,1,1,2,2,,86:53:37.43 W,21:7:45.88 N,-86.89373,21.12941
