Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
01DNL0003A,4,DISCONTINUO,ESCUELA NORMAL SUPERIOR FEDERAL DE AGS. PROFR. JOSE SANTOS VALDES,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,FEDERAL TRANSFERIDO,1,AGUASCALIENTES,1,AGUASCALIENTES,1,AGUASCALIENTES,BOULEVARD NAZARIO ORTIZ GARZA,0,AVENIDA PARQUE VIA,AVENIDA AGUASCALIENTES,NINGUNO NINGUNO,191,SANTA ANITA,20169,9752103,9752103,,,,,,,,,,,,102:16:28.98 W,21:53:55.18 N,-102.274717,21.898661
01ETK0057P,1,MATUTINO,TELEBACHILLERATO COMUNITARIO JILOTEPEC,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,1,AGUASCALIENTES,2,ASIENTOS,28,JILOTEPEC,CALLE CONSTITUCION,7,NINGUNO NINGUNO,CALLE NORTE,NINGUNO NINGUNO,1,NINGUNO,20709,4651093474,4651093474,,,,,,,,,,,,102:4:50.04 W,22:2:26.23 N,-102.080568,22.040619
01DJN0195I,1,MATUTINO,SALVADOR NOVO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,1,AGUASCALIENTES,7,RINCÓN DE ROMOS,41,SAN JUAN DE LA NATURA,NINGUNO NINGUNO,0,CALLE E,CALLE F,NINGUNO NINGUNO,1,NINGUNO,20411,,,,,17,15,32,0,0,0,1,2,,102:13:14.00 W,22:21:47.00 N,-102.220556,22.363056
01DJN0204Z,1,MATUTINO,MATIAS DE LA MATA PADILLA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,42,LORETITO (CHARCO DEL TORO),CALLE JOSE NUÑEZ,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,20320,,,,,32,23,55,0,1,1,2,2,,102:14:36.00 W,22:0:8.00 N,-102.243333,22.002222
01FEI0398E,1,MATUTINO,EDUCACION INICIAL DE CONAFE NO ESCOLARIZADO,INICIAL,INICIAL,INICIAL NO ESCOLARIZADA,PÚBLICO,FEDERAL,1,AGUASCALIENTES,5,JESÚS MARÍA,180,LA FLORIDA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,20919,,,,,4,4,8,0,1,1,0,0,,102:18:15.84 W,21:58:58.80 N,-102.3044,21.983
01FEI0099G,1,MATUTINO,EDUCACION INICIAL DE CONAFE NO ESCOLARIZADO,INICIAL,INICIAL,INICIAL NO ESCOLARIZADA,PÚBLICO,FEDERAL,1,AGUASCALIENTES,7,RINCÓN DE ROMOS,28,ESTANCIA DE MOSQUEIRA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,20437,,,,,5,4,9,0,1,1,0,0,,102:21:12.00 W,22:8:42.00 N,-102.353333,22.145
01FEI0183E,1,MATUTINO,EDUCACION INICIAL DE CONAFE NO ESCOLARIZADO,INICIAL,INICIAL,INICIAL NO ESCOLARIZADA,PÚBLICO,FEDERAL,1,AGUASCALIENTES,3,CALVILLO,41,EL MAGUEY,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,20832,,,,,2,6,8,0,1,1,0,0,,102:38:13.00 W,21:54:12.00 N,-102.636944,21.903333
01DNL0002B,4,DISCONTINUO,"ESCUELA NORMAL DE RINCÓN DE ROMOS ""DR. RAFAEL FRANCISCO AGUILAR LOMELÍ""",SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,FEDERAL TRANSFERIDO,1,AGUASCALIENTES,7,RINCÓN DE ROMOS,1,RINCÓN DE ROMOS,PROLONGACIÓN ALDAMA NORTE,0,CALLE ROSAURA ZAPATA,CALLE PIEDRERA,NINGUNO NINGUNO,39,NINGUNO,20400,4659510078,4659510078,,,,,,,,,,,,102:19:31.52 W,22:14:5.25 N,-102.325423,22.234792
01DTV0024E,2,VESPERTINO,ETV NUM. 188 CARLOS FUENTES MACIAS,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO,1,AGUASCALIENTES,5,JESÚS MARÍA,1,JESÚS MARÍA,CALLE EL MEZQUITAL,0,CALLE GARDENCHE,PROLONGACIÓN SAN LUIS,NINGUNO NINGUNO,23,EL MEZQUITAL,20928,,,,,26,33,59,2,0,2,3,3,,102:21:22.29 W,21:58:1.74 N,-102.356191,21.967149
01FEI0278S,1,MATUTINO,EDUCACION INICIAL DE CONAFE NO ESCOLARIZADO,INICIAL,INICIAL,INICIAL NO ESCOLARIZADA,PÚBLICO,FEDERAL,1,AGUASCALIENTES,1,AGUASCALIENTES,146,EL CONEJAL,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,20366,,,,,2,6,8,0,1,1,0,0,,102:12:24.00 W,21:55:1.00 N,-102.206667,21.916944
