Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
25KJN1744W,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,25,SINALOA,6,CULIACÁN,537,EL PARAÍSO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,80419,,,,,9,4,13,0,1,1,0,0,,107:17:34.80 W,24:33:50.04 N,-107.293,24.5639
25KPR1557S,1,MATUTINO,CURSOS COMUNITARIOS PRIMARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,25,SINALOA,3,BADIRAGUATO,210,EL PINITO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,82650,,,,,,,,,,,,,,107:18:46.80 W,26:0:50.76 N,-107.313,26.0141
25KJN1849Q,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,25,SINALOA,2,ANGOSTURA,2,ACATITA DE LOS CASTRO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,80539,,,,,,,,,,,,,,108:2:13.20 W,25:19:1.56 N,-108.037,25.3171
25KPR0442K,1,MATUTINO,CURSOS COMUNITARIOS PRIMARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,25,SINALOA,17,SINALOA,727,CUATRO CAMINOS,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,80583,,,,,2,1,3,0,1,1,0,0,,108:31:22.80 W,25:55:35.40 N,-108.523,25.9265
25PSU0130O,4,DISCONTINUO,INSTITUTO SUPERIOR DE ENFERMERIA DE MAZATLAN A.C,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PRIVADO,PRIVADO,25,SINALOA,12,MAZATLÁN,1,MAZATLÁN,CALLE RAFAEL BUELNA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,156,HACIENDA LAS CRUCES,82126,,,,,,,,,,,,,,106:24:0.89 W,23:13:34.71 N,-106.400248,23.226308
25PPR0189C,1,MATUTINO,NHUMAN S.C.,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,25,SINALOA,6,CULIACÁN,1,CULIACÁN ROSALES,CALLE RUBÍ,1450,NINGUNO NINGUNO,AVENIDA ALVARO OBREGON,NINGUNO NINGUNO,74,GUADALUPE,80220,,,,,52,78,130,0,7,7,7,7,,107:23:37.52 W,24:48:31.71 N,-107.393756,24.808808
25ETC0002N,1,MATUTINO,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS 2 PLANTEL LOMA DE RODRIGUERA,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,ESTATAL,25,SINALOA,6,CULIACÁN,1,CULIACÁN ROSALES,CIRCUITO MOJONERA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,110,LOMA DE RODRIGUERA,80019,6676909870,6676909870,,,,,,,,,,,,107:23:33.66 W,24:52:21.22 N,-107.392683,24.872561
25DJN1867W,1,MATUTINO,PREESCOLAR ALTERNATIVAS,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,25,SINALOA,10,EL FUERTE,180,SAN LÁZARO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,81845,,,,,7,4,11,0,0,0,1,1,,108:24:21.60 W,26:22:34.68 N,-108.406,26.3763
25DBA0022O,1,MATUTINO,JOSE VASCONCELOS,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,25,SINALOA,1,AHOME,1,LOS MOCHIS,CALLE MARCIAL ORDOÑEZ,0,NINGUNO NINGUNO,CALLE ALLENDE,NINGUNO NINGUNO,360,CENTRO,80378,,,,,,,,,,,,,,108:59:38.40 W,25:47:0.24 N,-108.994,25.7834
25DBS0005X,3,NOCTURNO,CENTRO SEA NUM. 5,BÁSICA,SECUNDARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,25,SINALOA,6,CULIACÁN,1,CULIACÁN ROSALES,CALLE CARRETERA A CULIACAN-NAVOLATO .,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,29,BACHIGUALATO,80130,7601617,7601617,,,,,,,,,,,,107:23:38.40 W,24:48:31.68 N,-107.394,24.8088
25DJN0940H,1,MATUTINO,FERNANDO MONTES DE OCA,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,25,SINALOA,12,MAZATLÁN,357,LA URRACA NUEVA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,82204,,,,,6,3,9,0,0,0,1,1,,106:15:31.99 W,23:11:33.64 N,-106.258887,23.192678
