Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
22PBT0098Z,1,MATUTINO,INSTITUTO QUERETANO DE PROTESIS DENTAL,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,1,SANTIAGO DE QUERÉTARO,CALLE MONTESACRO,101,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,173,SAN PEDRITO LOS ARCOS,76148,4424975434,4424975434,,,,,,,,,,,,100:24:33.38 W,20:38:56.67 N,-100.409272,20.649074
22PBT0098Z,2,VESPERTINO,INSTITUTO QUERETANO DE PROTESIS DENTAL,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,1,SANTIAGO DE QUERÉTARO,CALLE MONTESACRO,101,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,173,SAN PEDRITO LOS ARCOS,76148,4424975434,4424975434,,,,,,,,,,,,100:24:33.38 W,20:38:56.67 N,-100.409272,20.649074
22UBH0007I,1,MATUTINO,"ESCUELA DE BACHILLERES DE LA UAQ, PLANTEL BICENTENARIO",MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,AUTÓNOMO,22,QUERÉTARO,14,QUERÉTARO,108,SANTA ROSA JÁUREGUI,PROLONGACIÓN INDEPENDENCIA,0,CALLE PEREGRINA,NINGUNO NINGUNO,NINGUNO NINGUNO,20,CENTRO,76220,4421921200,4421921200,,,,,,,,,,,,100:26:47.55 W,20:44:2.54 N,-100.446542,20.734039
22USU0014M,4,DISCONTINUO,UNIVERSIDAD AUTONOMA DE QUERETARO CAMPUS JALPAN,SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PÚBLICO,AUTÓNOMO,22,QUERÉTARO,9,JALPAN DE SERRA,1,JALPAN DE SERRA,BOULEVARD POLICARPIO OLVERA,0,CALLE EZEQUIEL MONTES,CALLE CORREGIDORA,NINGUNO NINGUNO,727,NINGUNO,76340,4421921200,4421921200,,,,,,,,,,,,99:27:38.34 W,21:13:1.71 N,-99.460651,21.217143
22PSU0043W,4,DISCONTINUO,"INSTITUTO DE FORMACION EDUCATIVA SUPERIOR, PLANTEL SAN JUAN DEL RIO",SUPERIOR,SUPERIOR,LICENCIATURA Y POSGRADO,PRIVADO,PRIVADO,22,QUERÉTARO,16,SAN JUAN DEL RÍO,1,SAN JUAN DEL RÍO,BOULEVARD MIGUEL HIDALGO,103,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,11,CENTRO,76800,4272729626,4272729626,,,,,,,,,,,,99:59:53.29 W,20:22:52.06 N,-99.998135,20.381127
22PJN0207O,1,MATUTINO,PREESCOLAR CASTILLO DEL ALBA,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,1,SANTIAGO DE QUERÉTARO,CALLE CANAPO,100,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,93,LA LUNA,76113,,,,,35,34,69,0,5,5,5,5,,100:26:47.91 W,20:36:49.59 N,-100.446643,20.613776
22PPR0125V,1,MATUTINO,"INSTITUTO PEÑUELAS, S. C .",BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,1,SANTIAGO DE QUERÉTARO,CALLE PLACER,98,CALLE LOBOS,CALLE AV PIE DE LA CUESTA,NINGUNO NINGUNO,115,LOMAS DE SAN PEDRITO,76148,,,,,173,171,344,1,11,12,13,13,,100:24:18.02 W,20:38:46.31 N,-100.405006,20.646197
22KJN0832M,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,22,QUERÉTARO,1,AMEALCO DE BONFIL,143,TESQUEDÓ (PUERTO DEL CHIVATO),NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,76887,,,,,3,6,9,0,1,1,0,0,,99:56:42.66 W,20:7:8.63 N,-99.945182,20.119064
22KJN0852Z,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,22,QUERÉTARO,1,AMEALCO DE BONFIL,120,LA CAÑADA DEL VARAL,CALLE CONOCIDO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,2,0,2,0,1,1,0,0,,100:11:38.40 W,20:7:33.24 N,-100.194,20.1259
22PJN0064H,1,MATUTINO,QUEEN ELIZABETH,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,1,SANTIAGO DE QUERÉTARO,CALLE VICENTE SUAREZ,41,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,136,NIÑOS HEROES,76010,,,,,46,37,83,0,4,4,4,4,,100:24:43.32 W,20:35:13.89 N,-100.412033,20.587191
22PJN0131P,1,MATUTINO,JARDIN DE NIÑOS HORMIGUITAS,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,1,SANTIAGO DE QUERÉTARO,CALLE HACIENDA LA LAJA,102,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,51,EL JACAL,76180,,,,,17,10,27,0,3,3,3,3,,100:24:42.85 W,20:34:2.57 N,-100.411904,20.567381
22PPR0222X,1,MATUTINO,MAPLE GROVE ACADEMY,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,22,QUERÉTARO,14,QUERÉTARO,86,LA PURÍSIMA,CALLE ANILLO VIAL II FRAY JUNIPERO SERRA,7001,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,LA PURISIMA,76140,,,,,41,65,106,0,6,6,6,6,,100:20:46.58 W,20:38:4.26 N,-100.346272,20.634517
22PPR0232D,1,MATUTINO,INSTITUTO NEOQUERETANO,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,22,QUERÉTARO,12,PEDRO ESCOBEDO,1,PEDRO ESCOBEDO,CALLE LIBRAMIENTO SUR,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,13,ARBOLEDAS,76705,,,,,48,29,77,0,3,3,6,6,,100:9:21.59 W,20:30:20.53 N,-100.155998,20.505703
