Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
29DJN0294O,1,MATUTINO,EMILIO SANCHEZ PIEDRAS,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,20,SANCTÓRUM DE LÁZARO CÁRDENAS,1,SANCTÓRUM,CALLE ALVARO OBREGON,0,CALLE GENARO VAZQUEZ,CALLE 16 DE ENERO,CALLE ANDULIO GALVEZ,6,SANCTORUM DE LAZARO CARDENAS,90231,2464623600,2464623600,,,27,29,56,0,1,1,2,3,,98:25:46.24 W,19:35:0.37 N,-98.429511,19.583437
29DPR0152G,1,MATUTINO,BENITO JUAREZ,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,34,TLAXCO,45,LA PALMA,TERRACERIA TRAMO LAZARO CARDENAS ATOTONILCO DERECHO KILOMETRO 9+0,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,LA PALMA,90274,,,,,17,19,36,1,0,1,2,2,,97:59:48.78 W,19:35:31.49 N,-97.996882,19.592081
29ETC0019J,1,MATUTINO,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL TOTOLAC,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,ESTATAL,29,TLAXCALA,36,TOTOLAC,1,SAN JUAN TOTOLAC,CALLE MEXICO,10,CALLE MIRADOR ZARAGOZA,CALLE PASEO DEL MIRADOR,CALLE MIRADOR ZARAGOZA,5,SAN JUAN TOTOLAC,90160,4689200,4689200,,,,,,,,,,,,98:15:30.24 W,19:19:32.16 N,-98.2584,19.3256
29ETK0004Q,1,MATUTINO,ESCUELA DE EDUCACION TELEBACHILLERATO COMUNITARIO,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,ESTATAL,29,TLAXCALA,8,CUAPIAXTLA,16,SAN FRANCISCO CUEXCONTZI,CALLE REFORMA,602,CALLE 2 NORTE,CALLE PLAZA DE LA CONSTITUCION,CALLE 5 DE MAYO,3,SAN FRANCISCO CUEXCONTZI,90562,,,,,,,,,,,,,,97:42:40.98 W,19:19:15.01 N,-97.711384,19.320836
29DPR0163M,1,MATUTINO,IGNACIO ZARAGOZA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,32,TETLATLAHUCA,1,TETLATLAHUCA,CALLE 16 DE SEPTIEMBRE,0,NINGUNO NINGUNO,CALLE HIDALGO,CALLE 16 DE SEPTIEMBRE,2,ATENCO,90730,,,,,80,80,160,0,6,6,7,7,,98:18:4.47 W,19:14:4.15 N,-98.301243,19.234486
29DPR0175R,1,MATUTINO,CUAUHTEMOC,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,25,SAN PABLO DEL MONTE,1,VILLA VICENTE GUERRERO,CALLE DEFENSORES DE LA REPUBLICA,0,CALLE 2 DE ABRIL,CALLE 1 DE MAYO,CALLE JAVIER MINA,19,SAN NICOLAS,90930,,,,,321,316,637,5,13,18,18,18,,98:9:12.50 W,19:7:40.11 N,-98.153472,19.127807
29KPR0090U,1,MATUTINO,PRIMARIA COMUNITARIA (AULA COMPARTIDA),BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,29,TLAXCALA,4,ATLTZAYANCA,51,MIAHUAPAN EL ALTO,TERRACERIA TRAMO SANTA MARIA LAS CUEVAS MIAHUAPAN EL ALTO IZQUIERDO KILOMETRO 2+100,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,MIAHUAPAN EL ALTO,90558,2464664986,2464664986,,,1,0,1,0,1,1,0,0,,97:44:35.40 W,19:23:58.35 N,-97.743167,19.399543
29DPR0180C,1,MATUTINO,16 DE SEPTIEMBRE,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,32,TETLATLAHUCA,1,TETLATLAHUCA,CALLE VENUSTIANO CARRANZA,24,CALLE M OCAMPO,CALLE VICENTE GUERRERO,CALLE HIDALGO,12,SANTA ISABEL TETLATLAHUCA,90730,,,,,169,164,333,2,10,12,12,18,,98:17:54.47 W,19:13:56.75 N,-98.298463,19.232431
29DPR0149T,1,MATUTINO,TIERRA Y LIBERTAD,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,6,CALPULALPAN,24,NCPE GUSTAVO DÍAZ ORDAZ,CALLE EMILIANO ZAPATA,0,CALLE HIDALGO,CALLE TLAXCALA,CALLE BENITO JUAREZ,2,GUSTAVO DIAZ ORDAZ,90200,2464623600,2464623600,,,34,37,71,0,2,2,3,3,,98:28:0.40 W,19:33:59.52 N,-98.466778,19.566533
29DPR0159Z,1,MATUTINO,EMILIANO ZAPATA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,14,HUEYOTLIPAN,23,SANTIAGO TLALPAN,CALLE ESPERANZA,0,CALLE 16 DE SEPTIEMBRE,NINGUNO NINGUNO,NINGUNO NINGUNO,2,SAN SANTIAGO TLALPAN,90244,,,,,56,46,102,2,1,3,4,6,,98:18:28.66 W,19:28:46.20 N,-98.307961,19.479499
29DPR0193G,1,MATUTINO,CUAUHTEMOC,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,29,TLAXCALA,13,HUAMANTLA,1,HUAMANTLA,CALLE ADOLFO LOPEZ MATEOS,0,CALLE CUAUHTEMOC,CALLE 12 DE OCTUBRE,NINGUNO NINGUNO,34,SAN FRANCISCO,90500,,,,,73,98,171,1,5,6,6,6,,97:55:56.47 W,19:18:46.71 N,-97.932353,19.312975
