Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
03DTV0023D,1,MATUTINO,TELESECUNDARIA 23,BÁSICA,SECUNDARIA,TELESECUNDARIA,PÚBLICO,FEDERAL TRANSFERIDO,3,BAJA CALIFORNIA SUR,2,MULEGÉ,232,EMILIANO ZAPATA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,23708,,,,,12,11,23,2,0,2,3,5,,113:23:43.47 W,27:32:23.74 N,-113.395408,27.539929
03PJN0132Z,1,MATUTINO,CENTRO EDUCATIVO KOKONE,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,3,BAJA CALIFORNIA SUR,8,LOS CABOS,1,SAN JOSÉ DEL CABO,CALLE PUNTA COLORADA,0,CALLE PASEO MALECÓN SAN JOSÉ,CALLE PASEO DEL ESTERO,CALLE CARRETERA TRANSPENINSULAR,6,CENTRO,23400,6241726543,6241726543,,,9,8,17,0,1,1,1,1,,109:42:20.38 W,23:2:32.09 N,-109.70566,23.042247
03PPR0094D,1,MATUTINO,COLEGIO GAP LOS CABOS,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,3,BAJA CALIFORNIA SUR,8,LOS CABOS,1,SAN JOSÉ DEL CABO,BOULEVARD COSTA DORADA,0,CALLE PLAYA LA AGUJA,CALLE PLAYA MATANCILLAS,CALLE NINGUNO,43,COSTA DORADA,23434,6241723563,6241723563,,,104,88,192,1,5,6,6,12,,109:42:41.39 W,23:9:58.99 N,-109.711497,23.166387
03DBT0002D,4,DISCONTINUO,CENTRO DE CAPACITACION PARA EL TRABAJO INDUSTRIAL NUM. 106,CAPACITACIÓN,FORMACIÓN PARA EL TRABAJO,FORMACIÓN PARA EL TRABAJO,PÚBLICO,FEDERAL,3,BAJA CALIFORNIA SUR,8,LOS CABOS,1,SAN JOSÉ DEL CABO,CALLE JULIA NAVARRETE,0,NINGUNO NINGUNO,CALLE GUERRERO,NINGUNO NINGUNO,6,CENTRO,0,6241469101,6241469101,,,,,,,,,,,,109:41:42.00 W,23:3:41.76 N,-109.695,23.0616
03KJN0002L,4,DISCONTINUO,CURSO COMUNITARIO DE EDUCACION PREESCOLAR,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,3,BAJA CALIFORNIA SUR,9,LORETO,222,PUERTO AGUA VERDE,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,23764,,,,,14,9,23,0,2,2,0,0,,111:4:15.60 W,25:30:43.56 N,-111.071,25.5121
03KJN0034D,4,DISCONTINUO,CURSO COMUNITARIO DE EDUCACION PREESCOLAR,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,3,BAJA CALIFORNIA SUR,2,MULEGÉ,269,PALO VERDE,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,23706,,,,,3,2,5,0,1,1,0,0,,112:5:6.00 W,27:1:53.40 N,-112.085,27.0315
03DCT0003B,2,VESPERTINO,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 256,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,FEDERAL,3,BAJA CALIFORNIA SUR,8,LOS CABOS,54,CABO SAN LUCAS,CALLE PUERTO CHILENO,0,BOULEVARD LOS PINOS,CALLE CHAPULTEPEC,CALLE SAN ANTONIO,77,ARCOS DEL SOL,23474,6241464464,6241464464,,,,,,,,,,,,109:55:36.01 W,22:54:12.99 N,-109.926669,22.903607
03DCT0003B,1,MATUTINO,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 256,MEDIA SUPERIOR,MEDIA SUPERIOR,TECNOLÓGICO,PÚBLICO,FEDERAL,3,BAJA CALIFORNIA SUR,8,LOS CABOS,54,CABO SAN LUCAS,CALLE PUERTO CHILENO,0,BOULEVARD LOS PINOS,CALLE CHAPULTEPEC,CALLE SAN ANTONIO,77,ARCOS DEL SOL,23474,6241464464,6241464464,,,,,,,,,,,,109:55:36.01 W,22:54:12.99 N,-109.926669,22.903607
03DER0002M,1,MATUTINO,"CENTRO DE ATENCION PARA ESTUDIANTES CON DISCAPACIDAD, CETMAR 004",MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PÚBLICO,FEDERAL,3,BAJA CALIFORNIA SUR,3,LA PAZ,1,LA PAZ,CALLE INSTITUTO POLITECNICO NACIONAL,0,CALLE CETMAR,NINGUNO NINGUNO,NINGUNO NINGUNO,356,PLAYA PALO DE SANTA RITA,23096,1224906,1224906,,,,,,,,,,,,110:20:43.30 W,24:8:35.87 N,-110.34536,24.143298
03DBA0018Q,4,DISCONTINUO,CENTRO DE EDUCACION EXTRAESCOLAR NUM. 18,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,3,BAJA CALIFORNIA SUR,8,LOS CABOS,54,CABO SAN LUCAS,CALLE CARRETERA TODOS SANTOS,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,28,INFONAVIT BRISAS,0,1466666,1466666,,,,,,,,,,,,109:55:30.00 W,22:53:49.20 N,-109.925,22.897
