Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
13PPR0129J,1,MATUTINO,COLEGIO JOHN F. KENNEDY,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,13,HIDALGO,69,TIZAYUCA,1,TIZAYUCA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,77,MARÍA MAGDALENA,43802,7791008159,7791008159,,,5,11,16,0,3,3,3,6,,98:58:39.91 W,19:51:48.76 N,-98.977753,19.863544
13DPR0805O,1,MATUTINO,CARLOS MONSIVAIS ACEVES,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,13,HIDALGO,69,TIZAYUCA,50,FUENTES DE TIZAYUCA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,43816,,,,,105,87,192,1,5,6,6,18,,98:58:53.13 W,19:52:14.79 N,-98.981425,19.870775
13PES0223H,1,MATUTINO,MONTESSORI PACHUCA,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,13,HIDALGO,48,PACHUCA DE SOTO,1,PACHUCA DE SOTO,CALLE PRECIO PRESA LOS JALES NORTE,0,BOULEVARD FELIPE ANGELES,BOULEVARD NUEVO HIDALGO,NINGUNO NINGUNO,521,AEROPUERTO,42083,7717142856,7717142856,,,7,8,15,0,4,4,5,5,,98:45:55.50 W,20:5:35.90 N,-98.765417,20.093306
13PJN0146J,1,MATUTINO,COLEGIO SANDERSON,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,13,HIDALGO,48,PACHUCA DE SOTO,1,PACHUCA DE SOTO,BOULEVARD EVERARDO MARQUEZ,0,CALLE COSCOTITLAN,CALLE PIRULES,CALLE DE LOS MAESTROS,37,LOS MAESTROS,42064,7711071781,7711071781,,,14,12,26,0,3,3,3,3,,98:44:49.43 W,20:6:11.75 N,-98.747064,20.103264
13PES0192E,1,MATUTINO,COLEGIO REAL MOTOLINIA,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,13,HIDALGO,48,PACHUCA DE SOTO,1,PACHUCA DE SOTO,CALLE 24 DE OCTUBRE,1201,CALLE 13 DE JUNIO,NINGUNO NINGUNO,CALLE 16 DE ENERO,369,NINGUNO,42083,7711080471,7711080471,,,17,25,42,2,5,7,3,3,,98:47:39.90 W,20:3:13.60 N,-98.794417,20.053778
13PPR0043D,1,MATUTINO,JORGE A. BERGANZA Y DE LA TORRE,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,13,HIDALGO,77,TULANCINGO DE BRAVO,1,TULANCINGO,CALLE MARIANO MATAMOROS,303,CALLE VICENTE RIVA PALACIO,BOULEVARD NARCISO MENDOZA,CALLE CARRETERA MEXICO-TUXPAN,167,LOS ALAMOS,43640,7757533544,7757533544,,,125,119,244,2,8,10,10,12,,98:22:36.40 W,20:5:12.80 N,-98.376778,20.086889
13DJN0026S,1,MATUTINO,JUAN AMOS COMENIO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,13,HIDALGO,2,ACAXOCHITLÁN,21,TLAMIMILOLPA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,43730,,,,,27,22,49,0,1,1,2,2,,98:12:43.85 W,20:7:57.43 N,-98.21218,20.132619
13DJN0107C,1,MATUTINO,CLUB DE LEONES,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,13,HIDALGO,77,TULANCINGO DE BRAVO,1,TULANCINGO,CALLE GUADALUPE VICTORIA,207,CALLE VICENTE GUERRERO,CALLE LUIS PONCE,CALLE FRANCISCO JAVIER MINA,11,CENTRO,43600,7759742132,7759742132,,,85,67,152,0,6,6,6,6,,98:22:11.10 W,20:5:15.89 N,-98.36975,20.087747
13DJN0130D,1,MATUTINO,ABUNDIO MARTINEZ,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,13,HIDALGO,22,EPAZOYUCAN,1,EPAZOYUCAN,CALZADA SAN MARTIN,0,CALLE CUAUHTEMOC,CALLE MADERO,CALLE ALDAMA,9,20 DE NOVIEMBRE,43580,,,,,23,27,50,0,1,1,2,3,,98:38:15.30 W,20:1:3.40 N,-98.637583,20.017611
13DJN0204E,1,MATUTINO,HEROE DE NACOZARI,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,13,HIDALGO,56,SANTIAGO TULANTEPEC DE LUGO GUERRERO,8,VENTOQUIPA,AVENIDA JUAREZ,1,CALLE CARRETERA A CUAUTEPEC SANTIAGO,CALLE SAN JUAN,NINGUNO NINGUNO,1,NINGUNO,43770,7757546899,7757546899,,,15,19,34,0,1,1,2,2,,98:20:16.66 W,20:2:2.07 N,-98.33796,20.033908
