Clave del centro de trabajo,Clave del turno,Nombre del turno,Nombre del centro de trabajo,Tipo educativo,Nivel educativo,Servicio educativo,Nombre del control (Público o Privado),Tipo de sostenimiento,Clave de la entidad federativa,Nombre de la entidad,Clave del municipio o delegación,Nombre del municipio o delegación,Clave de la localidad,Nombre de localidad,Domicilio,Número exterior,Entre la calle,Y la calle,Calle posterior,Colonia,Nombre de la colonia,Código postal,Clave lada,Teléfono,Extensión del teléfono,Página web,Alumnos total (hombres),Alumnos total (mujeres),Alumnos total,Docentes total (hombres),Docentes total (mujeres),Docentes total,Aulas en uso,Aulas existentes,"Tipo de localidad U - Urbano, R - Rural","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados, minutos y segundos","Ubicación de la escuela-localidad al Oeste del Meridiano de Greenwich, expresada en grados","Ubicación de la escuela-localidad al norte del Ecuador, expresada en grados"
18KPR0018E,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,2,AHUACATLÁN,16,LA GLORIA,CALLE POR LA PRINCIPAL,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63900,,,,,3,1,4,0,1,1,0,0,,104:40:48.00 W,21:2:36.96 N,-104.68,21.0436
18DJN1494N,1,MATUTINO,NICOLAS BRAVO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,7,JALA,4,LOS AGUAJES,CALLE SAN FELIPE,37,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,3,NINGUNO,63870,,,,,,,,,,,,,,104:21:14.40 W,21:6:29.88 N,-104.354,21.1083
18PET0037X,2,VESPERTINO,ESCUELA DE COMPUTACION DE TECUALA,MEDIA SUPERIOR,MEDIA SUPERIOR,PROFESIONAL TÉCNICO,PRIVADO,PRIVADO,18,NAYARIT,16,TECUALA,1,TECUALA,CALLE HIDALGO,0,CALLE GUADALAJARA,CALLE GUANAJUATO,NINGUNO NINGUNO,22,SIN NOMBRE DE COLONIA 1,63440,,,,,,,,,,,,,,0:0:0.00 W,0:0:0.00 S,0,0
18PJN0007D,1,MATUTINO,GUADALUPE VICTORIA,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,18,NAYARIT,15,SANTIAGO IXCUINTLA,1,SANTIAGO IXCUINTLA,CALLE MINA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,48,SIN NOMBRE DE COLONIA 1,63330,,,,,13,13,26,0,2,2,2,2,,0:0:0.00 W,0:0:0.00 S,0,0
18DPR1010J,1,MATUTINO,CUAUHTEMOC,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,20,BAHÍA DE BANDERAS,98,TONDOROQUE,AVENIDA SAN VICENTE,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63732,,,,,48,47,95,3,0,3,4,4,,105:17:42.00 W,20:44:41.64 N,-105.295,20.7449
18PJN0016L,1,MATUTINO,"""COLEGIO DA VINCI, A. C.""",BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,18,NAYARIT,8,XALISCO,1,XALISCO,CALLE MEXICO 13 NORTE,13,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,51,NINGUNO,0,,,,,16,11,27,0,3,3,3,3,,104:54:0.00 W,21:26:37.32 N,-104.9,21.4437
18DZC0004X,1,MATUTINO,SANTA ISABEL,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,2,AHUACATLÁN,34,SANTA ISABEL,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,SANTA ISABEL,63915,3112140904,3112140904,,,,,,,,,,,,0:0:0.00 W,0:0:0.00 S,0,0
18DZC0068H,1,MATUTINO,SAN LUIS DE LOZADA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,17,TEPIC,153,SAN LUIS DE LOZADA,CALLE SOBRE LA CARRETERA ENTRANDO A LA COMUNIDAD FRENTE A LA CLINICA DE SALUD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63527,,,,,,,,,,,,,,104:42:21.60 W,21:30:7.56 N,-104.706,21.5021
18EJN0295G,1,MATUTINO,ROSAURA ZAPATA CANO,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,18,NAYARIT,8,XALISCO,1,XALISCO,CALLE VALLES DE COMPOSTELA,32,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,51,NINGUNO,0,3112135831,3112135831,,,53,48,101,0,5,5,5,5,,104:54:0.00 W,21:26:37.32 N,-104.9,21.4437
18EJN0384Z,1,MATUTINO,LUIS CASTILLO LEDON,BÁSICA,PREESCOLAR,GENERAL,PÚBLICO,ESTATAL,18,NAYARIT,17,TEPIC,140,PLATANITOS,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63300,3112135831,3112135831,,,13,13,26,0,0,0,1,1,,104:58:26.40 W,21:31:17.04 N,-104.974,21.5214
18KCC0188T,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,9,DEL NAYAR,355,EL SEGUNDO PASO,CALLE A LA ENTRADA DE LA LOCALIDAD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,3,5,8,0,1,1,0,0,,104:31:4.80 W,22:13:53.76 N,-104.518,22.2316
18KJN0093V,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,15,SANTIAGO IXCUINTLA,48,LAS PAREJAS,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63568,,,,,5,7,12,0,1,1,0,0,,105:2:13.20 W,21:52:53.04 N,-105.037,21.8814
18KJN0273F,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,8,XALISCO,17,SAN JOSÉ DE COSTILLA (ESTACIÓN COSTILLA),NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63780,3112130410,3112130410,,,7,6,13,0,1,1,0,0,,104:51:18.00 W,21:21:42.48 N,-104.855,21.3618
18DPR0575H,1,MATUTINO,JUAN ESCUTIA,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,1,ACAPONETA,88,EL NARANJO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63400,3255960801,3255960801,,,26,23,49,1,1,2,3,4,,105:16:1.20 W,22:33:15.48 N,-105.267,22.5543
18DPR0749H,1,MATUTINO,BENITO JUAREZ,BÁSICA,PRIMARIA,GENERAL,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,15,SANTIAGO IXCUINTLA,65,SAN MIGUEL NÚMERO DOS (EL QUEMADO),CALLE QUERETARO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,63565,,,,,44,48,92,0,4,4,5,6,,105:23:27.60 W,21:49:43.32 N,-105.391,21.8287
18KPR0610G,1,MATUTINO,PRIMARIA COMUNITARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,19,LA YESCA,1215,EL MAJAGUAL,CALLE JUNTO A LA TIENDA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,2,3,5,1,0,1,0,0,,104:19:1.20 W,21:16:21.00 N,-104.317,21.2725
18KSC0018Z,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,SECUNDARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,9,DEL NAYAR,752,SAN ISIDRO,CALLE ENTRADA PRINCIPAL JUNTO A LA CASA DEL PRESIDENTE DE APEC,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,8,10,18,1,0,1,0,0,,104:26:49.20 W,22:13:31.44 N,-104.447,22.2254
18KPB0004A,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,9,DEL NAYAR,548,LA QUEMADA,CALLE LADO IZQUIERDO DE LA COMUNIDAD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,63535,,,,,5,5,10,1,0,1,0,0,,104:33:18.00 W,22:1:23.52 N,-104.555,22.0232
18PES0029Z,1,MATUTINO,COLEGIO PATRIA,BÁSICA,SECUNDARIA,GENERAL,PRIVADO,PRIVADO,18,NAYARIT,17,TEPIC,1,TEPIC,CALLE HIDALGO,0,CALLE SAN LUIS,CALLE URES,NINGUNO NINGUNO,426,ZONA CENTRO,63000,,,,,20,20,40,3,2,5,3,3,,0:0:0.00 W,0:0:0.00 S,0,0
18PJN0165T,1,MATUTINO,CENTRO EDUCATIVO REGGIO,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,PRIVADO,18,NAYARIT,17,TEPIC,1,TEPIC,CALLE ACAPONETA,22,CALLE PASEO DE LA LOMA,CALLE IGNACIO RAMIREZ,AVENIDA DEL EJERCITO,406,FRAY JUNIPERO SERRA,63169,,,,,13,4,17,0,2,2,3,3,,104:53:38.40 W,21:30:26.64 N,-104.894,21.5074
18PPR0038N,1,MATUTINO,COLEGIO VIZCAYA,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,18,NAYARIT,17,TEPIC,1,TEPIC,AVENIDA MEXICO SUR,0,CALLE EULOGIO PARRA,CALLE DOCTOR MARTINEZ,CALLE ZACATECAS,142,SAN ANTONIO,63159,3112136900,3112136900,,,120,114,234,1,11,12,12,12,,0:0:0.00 W,0:0:0.00 S,0,0
18PBH0099R,1,MATUTINO,PREPARATORIA NUEVA ERA,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PRIVADO,PRIVADO,18,NAYARIT,20,BAHÍA DE BANDERAS,53,MEZCALES,CALLE CRUZ DE LIMA,6,CALLE JUAN ESCUTIA,AVENIDA BAHIA DE BANDERAS,NINGUNO NINGUNO,10,NINGUNO,0,3292866080,3292866080,,,,,,,,,,,,0:0:0.00 W,0:0:0.00 S,0,0
18PBH0113U,4,DISCONTINUO,COLEGIO JAIME TORRES BODET,MEDIA SUPERIOR,MEDIA SUPERIOR,BACHILLERATO GENERAL,PRIVADO,PRIVADO,18,NAYARIT,17,TEPIC,1,TEPIC,AVENIDA DE LA CULTURA,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,23,CIUDAD DEL VALLE,63430,,,,,,,,,,,,,,0:0:0.00 W,0:0:0.00 S,0,0
18PPR0069G,1,MATUTINO,COLEGIO CERVANTES,BÁSICA,PRIMARIA,GENERAL,PRIVADO,PRIVADO,18,NAYARIT,17,TEPIC,1,TEPIC,CALLE PASEO DE LA LOMA,203,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,419,SIN NOMBRE DE COLONIA,63000,,,,,77,51,128,2,3,5,6,6,,104:53:38.40 W,21:30:26.64 N,-104.894,21.5074
18SJN0006B,1,MATUTINO,PAULO FREIRE,BÁSICA,PREESCOLAR,GENERAL,PRIVADO,SUBSIDIO,18,NAYARIT,4,COMPOSTELA,186,LAS VARAS,CALLE MAZATLAN,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,5,NUEVA ERA,63177,3272721061,3272721061,,,61,54,115,0,6,6,6,6,,0:0:0.00 W,0:0:0.00 S,0,0
18FEI0042F,4,DISCONTINUO,SUPERVISOR DE MODULO NUM. 6,INICIAL,INICIAL,INICIAL NO ESCOLARIZADA,PÚBLICO,FEDERAL TRANSFERIDO,18,NAYARIT,14,SANTA MARÍA DEL ORO,1,SANTA MARÍA DEL ORO,CALLE INDEPENDENCIA,0,NINGUNO NINGUNO,CALLE PASEO DE LOS ARRAYANES,NINGUNO NINGUNO,7,LA QUINTA,0,,,,,6,9,15,1,0,1,0,0,,104:35:25.26 W,21:20:23.01 N,-104.590351,21.339725
18KPR0294I,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,19,LA YESCA,183,TATEPUSCO,CALLE ENTRANDO A LA COMUNIDAD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,63584,,,,,3,5,8,0,1,1,0,0,,104:18:3.60 W,21:20:52.44 N,-104.301,21.3479
18KPR0620N,1,MATUTINO,PRIMARIA COMUNITARIA,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,14,SANTA MARÍA DEL ORO,83,LOS GUAJES,CALLE EN EL CENTRO DE LA COMUNIDAD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,3112130410,3112130410,,,,,,,,,,,,104:26:13.20 W,21:19:1.92 N,-104.437,21.3172
18KPR0081G,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PRIMARIA,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,19,LA YESCA,860,PLATANAR DE LOS LÓPEZ,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,63584,3112130410,3112130410,,,,,,,,,,,,104:21:32.40 W,21:20:35.88 N,-104.359,21.3433
18KCC0156A,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,9,DEL NAYAR,137,SANTA TERESA,CALLE LLEGANDO A LA COMUNIDAD DEL LADO DERECHO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,2,NINGUNO,0,,,,,2,2,4,0,0,0,0,0,,104:45:57.60 W,22:29:49.56 N,-104.766,22.4971
18KJN0650R,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,19,LA YESCA,1760,ARROYO DEL CAPOMO,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,3112130410,3112130410,,,1,1,2,0,0,0,0,0,,104:24:28.32 W,21:24:30.79 N,-104.407866,21.408553
18KCC0186V,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,9,DEL NAYAR,1243,OJO DE AGUA,CALLE EN EL CENTRO DE LA COMUNIDAD,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,5,5,10,1,0,1,0,0,,104:51:39.60 W,22:21:25.20 N,-104.861,22.357
18KCC0205T,1,MATUTINO,CURSOS COMUNITARIOS,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,9,DEL NAYAR,1255,LOS PAREJOS,CALLE POR EL CENTRO DE LA COMUNIDAD,0,CALLE POR LA PRINCIPAL,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,0,,,,,0,1,1,0,0,0,0,0,,104:48:28.80 W,21:51:12.96 N,-104.808,21.8536
18KJN0110V,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,17,TEPIC,137,LAS PEÑITAS (LA REPISA),NINGUNO NINGUNO,0,CALLE LA IGLESIA,CALLE LOS CAñAVERALES,NINGUNO NINGUNO,1,NINGUNO,63300,,,,,1,3,4,0,0,0,0,0,,105:1:26.40 W,21:33:42.48 N,-105.024,21.5618
18KJN0390V,1,MATUTINO,PREESCOLAR COMUNITARIO,BÁSICA,PREESCOLAR,COMUNITARIO,PÚBLICO,FEDERAL,18,NAYARIT,5,HUAJICORI,113,EL RODEO DE ARRIBA,NINGUNO NINGUNO,0,NINGUNO NINGUNO,NINGUNO NINGUNO,NINGUNO NINGUNO,1,NINGUNO,63493,3112130410,3112130410,,,3,0,3,0,0,0,0,0,,105:20:31.20 W,22:36:24.84 N,-105.342,22.6069
