"","ent","cve","nivel","servicio","total","alumnos","docentes"
"1","BAJA CALIFORNIA","02001","PREESCOLAR","COMUNITARIO",48,201,35
"2","BAJA CALIFORNIA","02001","PREESCOLAR","GENERAL",163,12704,546
"3","BAJA CALIFORNIA","02001","PREESCOLAR","INDÍGENA",44,2447,89
"4","BAJA CALIFORNIA","02001","PRIMARIA","COMUNITARIO",23,282,17
"5","BAJA CALIFORNIA","02001","PRIMARIA","GENERAL",242,46689,1816
"6","BAJA CALIFORNIA","02001","PRIMARIA","INDÍGENA",55,8268,328
"7","BAJA CALIFORNIA","02001","SECUNDARIA","COMUNITARIO",4,49,4
"8","BAJA CALIFORNIA","02001","SECUNDARIA","GENERAL",44,14708,721
"9","BAJA CALIFORNIA","02001","SECUNDARIA","TÉCNICA",20,8990,372
"10","BAJA CALIFORNIA","02001","SECUNDARIA","TELESECUNDARIA",58,4394,200
"11","BAJA CALIFORNIA","02002","PREESCOLAR","COMUNITARIO",46,319,41
"12","BAJA CALIFORNIA","02002","PREESCOLAR","GENERAL",296,27299,1194
"13","BAJA CALIFORNIA","02002","PREESCOLAR","INDÍGENA",1,11,1
"14","BAJA CALIFORNIA","02002","PRIMARIA","COMUNITARIO",2,59,3
"15","BAJA CALIFORNIA","02002","PRIMARIA","GENERAL",403,91650,3652
"16","BAJA CALIFORNIA","02002","PRIMARIA","INDÍGENA",1,24,1
"17","BAJA CALIFORNIA","02002","SECUNDARIA","COMUNITARIO",1,12,1
"18","BAJA CALIFORNIA","02002","SECUNDARIA","GENERAL",117,43284,2221
"19","BAJA CALIFORNIA","02002","SECUNDARIA","TÉCNICA",21,8372,288
"20","BAJA CALIFORNIA","02002","SECUNDARIA","TELESECUNDARIA",10,386,33
"21","BAJA CALIFORNIA","02003","PREESCOLAR","COMUNITARIO",7,55,7
"22","BAJA CALIFORNIA","02003","PREESCOLAR","GENERAL",41,3207,131
"23","BAJA CALIFORNIA","02003","PRIMARIA","COMUNITARIO",3,49,4
"24","BAJA CALIFORNIA","02003","PRIMARIA","GENERAL",65,11209,441
"25","BAJA CALIFORNIA","02003","PRIMARIA","INDÍGENA",1,17,0
"26","BAJA CALIFORNIA","02003","SECUNDARIA","COMUNITARIO",1,0,0
"27","BAJA CALIFORNIA","02003","SECUNDARIA","GENERAL",11,5190,225
"28","BAJA CALIFORNIA","02003","SECUNDARIA","TÉCNICA",3,514,20
"29","BAJA CALIFORNIA","02003","SECUNDARIA","TELESECUNDARIA",7,644,27
"30","BAJA CALIFORNIA","02004","PREESCOLAR","COMUNITARIO",12,84,7
"31","BAJA CALIFORNIA","02004","PREESCOLAR","GENERAL",290,35423,1426
"32","BAJA CALIFORNIA","02004","PREESCOLAR","INDÍGENA",9,917,35
"33","BAJA CALIFORNIA","02004","PRIMARIA","COMUNITARIO",7,191,7
"34","BAJA CALIFORNIA","02004","PRIMARIA","GENERAL",484,165105,5605
"35","BAJA CALIFORNIA","02004","PRIMARIA","INDÍGENA",10,2517,83
"36","BAJA CALIFORNIA","02004","SECUNDARIA","GENERAL",122,62983,2471
"37","BAJA CALIFORNIA","02004","SECUNDARIA","TÉCNICA",39,24703,837
"38","BAJA CALIFORNIA","02004","SECUNDARIA","TELESECUNDARIA",22,4658,177
"39","BAJA CALIFORNIA","02005","PREESCOLAR","COMUNITARIO",3,1,1
"40","BAJA CALIFORNIA","02005","PREESCOLAR","GENERAL",35,2864,125
"41","BAJA CALIFORNIA","02005","PREESCOLAR","INDÍGENA",1,59,3
"42","BAJA CALIFORNIA","02005","PRIMARIA","COMUNITARIO",1,4,1
"43","BAJA CALIFORNIA","02005","PRIMARIA","GENERAL",40,11261,376
"44","BAJA CALIFORNIA","02005","PRIMARIA","INDÍGENA",1,164,6
"45","BAJA CALIFORNIA","02005","SECUNDARIA","GENERAL",8,3915,285
"46","BAJA CALIFORNIA","02005","SECUNDARIA","TÉCNICA",4,1772,58
"47","BAJA CALIFORNIA","02005","SECUNDARIA","TELESECUNDARIA",4,387,15
"48","AGUASCALIENTES","01001","PREESCOLAR","COMUNITARIO",36,452,46
"49","AGUASCALIENTES","01001","PREESCOLAR","GENERAL",179,26433,932
"50","AGUASCALIENTES","01001","PRIMARIA","COMUNITARIO",10,140,11
"51","AGUASCALIENTES","01001","PRIMARIA","GENERAL",280,85671,2469
"52","AGUASCALIENTES","01001","SECUNDARIA","COMUNITARIO",5,62,6
"53","AGUASCALIENTES","01001","SECUNDARIA","GENERAL",55,27997,1268
"54","AGUASCALIENTES","01001","SECUNDARIA","TÉCNICA",35,17291,791
"55","AGUASCALIENTES","01001","SECUNDARIA","TELESECUNDARIA",32,3414,135
"56","AGUASCALIENTES","01002","PREESCOLAR","COMUNITARIO",18,213,21
"57","AGUASCALIENTES","01002","PREESCOLAR","GENERAL",33,2092,57
"58","AGUASCALIENTES","01002","PRIMARIA","COMUNITARIO",4,31,3
"59","AGUASCALIENTES","01002","PRIMARIA","GENERAL",47,6884,201
"60","AGUASCALIENTES","01002","SECUNDARIA","COMUNITARIO",1,0,0
"61","AGUASCALIENTES","01002","SECUNDARIA","TÉCNICA",4,1520,50
"62","AGUASCALIENTES","01002","SECUNDARIA","TELESECUNDARIA",25,1758,71
"63","AGUASCALIENTES","01003","PREESCOLAR","COMUNITARIO",22,226,26
"64","AGUASCALIENTES","01003","PREESCOLAR","GENERAL",23,1752,52
"65","AGUASCALIENTES","01003","PRIMARIA","COMUNITARIO",10,122,11
"66","AGUASCALIENTES","01003","PRIMARIA","GENERAL",39,6381,179
"67","AGUASCALIENTES","01003","SECUNDARIA","COMUNITARIO",4,36,4
"68","AGUASCALIENTES","01003","SECUNDARIA","GENERAL",4,1893,62
"69","AGUASCALIENTES","01003","SECUNDARIA","TÉCNICA",3,356,17
"70","AGUASCALIENTES","01003","SECUNDARIA","TELESECUNDARIA",17,927,34
"71","AGUASCALIENTES","01004","PREESCOLAR","COMUNITARIO",2,31,3
"72","AGUASCALIENTES","01004","PREESCOLAR","GENERAL",9,792,25
"73","AGUASCALIENTES","01004","PRIMARIA","GENERAL",11,2100,57
"74","AGUASCALIENTES","01004","SECUNDARIA","TÉCNICA",1,396,18
"75","AGUASCALIENTES","01004","SECUNDARIA","TELESECUNDARIA",7,625,25
"76","AGUASCALIENTES","01005","PREESCOLAR","COMUNITARIO",7,86,9
"77","AGUASCALIENTES","01005","PREESCOLAR","GENERAL",36,4098,139
"78","AGUASCALIENTES","01005","PRIMARIA","COMUNITARIO",1,5,1
"79","AGUASCALIENTES","01005","PRIMARIA","GENERAL",51,13042,384
"80","AGUASCALIENTES","01005","SECUNDARIA","COMUNITARIO",1,14,1
"81","AGUASCALIENTES","01005","SECUNDARIA","GENERAL",4,2116,98
"82","AGUASCALIENTES","01005","SECUNDARIA","TÉCNICA",7,3371,137
"83","AGUASCALIENTES","01005","SECUNDARIA","TELESECUNDARIA",18,1373,58
"84","AGUASCALIENTES","01006","PREESCOLAR","COMUNITARIO",7,97,9
"85","AGUASCALIENTES","01006","PREESCOLAR","GENERAL",19,1619,59
"86","AGUASCALIENTES","01006","PRIMARIA","GENERAL",25,5400,158
"87","AGUASCALIENTES","01006","SECUNDARIA","COMUNITARIO",1,12,1
"88","AGUASCALIENTES","01006","SECUNDARIA","TÉCNICA",4,2162,90
"89","AGUASCALIENTES","01006","SECUNDARIA","TELESECUNDARIA",8,817,35
"90","AGUASCALIENTES","01007","PREESCOLAR","COMUNITARIO",3,27,4
"91","AGUASCALIENTES","01007","PREESCOLAR","GENERAL",27,2297,81
"92","AGUASCALIENTES","01007","PRIMARIA","COMUNITARIO",2,13,2
"93","AGUASCALIENTES","01007","PRIMARIA","GENERAL",34,6770,189
"94","AGUASCALIENTES","01007","SECUNDARIA","GENERAL",4,1857,96
"95","AGUASCALIENTES","01007","SECUNDARIA","TÉCNICA",2,922,38
"96","AGUASCALIENTES","01007","SECUNDARIA","TELESECUNDARIA",11,1095,42
"97","AGUASCALIENTES","01008","PREESCOLAR","COMUNITARIO",2,19,2
"98","AGUASCALIENTES","01008","PREESCOLAR","GENERAL",6,359,9
"99","AGUASCALIENTES","01008","PRIMARIA","COMUNITARIO",4,48,5
"100","AGUASCALIENTES","01008","PRIMARIA","GENERAL",7,1147,33
"101","AGUASCALIENTES","01008","SECUNDARIA","COMUNITARIO",3,17,3
"102","AGUASCALIENTES","01008","SECUNDARIA","TÉCNICA",1,282,15
"103","AGUASCALIENTES","01008","SECUNDARIA","TELESECUNDARIA",5,207,6
"104","AGUASCALIENTES","01009","PREESCOLAR","COMUNITARIO",3,32,3
"105","AGUASCALIENTES","01009","PREESCOLAR","GENERAL",17,1125,32
"106","AGUASCALIENTES","01009","PRIMARIA","GENERAL",22,3171,95
"107","AGUASCALIENTES","01009","SECUNDARIA","GENERAL",1,314,12
"108","AGUASCALIENTES","01009","SECUNDARIA","TÉCNICA",2,444,16
"109","AGUASCALIENTES","01009","SECUNDARIA","TELESECUNDARIA",13,726,24
"110","AGUASCALIENTES","01010","PREESCOLAR","COMUNITARIO",11,64,11
"111","AGUASCALIENTES","01010","PREESCOLAR","GENERAL",17,774,14
"112","AGUASCALIENTES","01010","PRIMARIA","COMUNITARIO",5,42,5
"113","AGUASCALIENTES","01010","PRIMARIA","GENERAL",24,2631,65
"114","AGUASCALIENTES","01010","SECUNDARIA","COMUNITARIO",1,7,1
"115","AGUASCALIENTES","01010","SECUNDARIA","TÉCNICA",1,435,16
"116","AGUASCALIENTES","01010","SECUNDARIA","TELESECUNDARIA",13,909,37
"117","AGUASCALIENTES","01011","PREESCOLAR","COMUNITARIO",6,77,9
"118","AGUASCALIENTES","01011","PREESCOLAR","GENERAL",19,2267,77
"119","AGUASCALIENTES","01011","PRIMARIA","COMUNITARIO",1,8,1
"120","AGUASCALIENTES","01011","PRIMARIA","GENERAL",29,7559,212
"121","AGUASCALIENTES","01011","SECUNDARIA","TÉCNICA",6,1906,88
"122","AGUASCALIENTES","01011","SECUNDARIA","TELESECUNDARIA",13,1890,67
"123","AGUASCALIENTES","01035","PREESCOLAR","COMUNITARIO",1,2,1
"124","AGUASCALIENTES","01035","PRIMARIA","COMUNITARIO",1,12,1
"125","AGUASCALIENTES","01035","SECUNDARIA","TELESECUNDARIA",1,28,0
"126","AGUASCALIENTES","01053","PREESCOLAR","COMUNITARIO",1,17,1
"127","AGUASCALIENTES","01053","PRIMARIA","GENERAL",1,61,1
"128","AGUASCALIENTES","01064","PREESCOLAR","COMUNITARIO",1,11,1
"129","AGUASCALIENTES","01064","PRIMARIA","GENERAL",1,176,6
"130","BAJA CALIFORNIA SUR","03001","PREESCOLAR","COMUNITARIO",18,126,14
"131","BAJA CALIFORNIA SUR","03001","PREESCOLAR","GENERAL",28,2226,86
"132","BAJA CALIFORNIA SUR","03001","PRIMARIA","COMUNITARIO",5,46,4
"133","BAJA CALIFORNIA SUR","03001","PRIMARIA","GENERAL",53,7808,347
"134","BAJA CALIFORNIA SUR","03001","SECUNDARIA","GENERAL",9,3202,106
"135","BAJA CALIFORNIA SUR","03001","SECUNDARIA","TÉCNICA",5,966,37
"136","BAJA CALIFORNIA SUR","03001","SECUNDARIA","TELESECUNDARIA",12,380,28
"137","BAJA CALIFORNIA SUR","03002","PREESCOLAR","COMUNITARIO",25,282,23
"138","BAJA CALIFORNIA SUR","03002","PREESCOLAR","GENERAL",35,2355,92
"139","BAJA CALIFORNIA SUR","03002","PRIMARIA","COMUNITARIO",13,102,12
"140","BAJA CALIFORNIA SUR","03002","PRIMARIA","GENERAL",56,7164,317
"141","BAJA CALIFORNIA SUR","03002","SECUNDARIA","GENERAL",7,1186,71
"142","BAJA CALIFORNIA SUR","03002","SECUNDARIA","TÉCNICA",4,1179,40
"143","BAJA CALIFORNIA SUR","03002","SECUNDARIA","TELESECUNDARIA",19,581,34
"144","BAJA CALIFORNIA SUR","03003","PREESCOLAR","COMUNITARIO",34,136,14
"145","BAJA CALIFORNIA SUR","03003","PREESCOLAR","GENERAL",87,7690,312
"146","BAJA CALIFORNIA SUR","03003","PRIMARIA","COMUNITARIO",21,121,18
"147","BAJA CALIFORNIA SUR","03003","PRIMARIA","GENERAL",123,24706,1037
"148","BAJA CALIFORNIA SUR","03003","SECUNDARIA","GENERAL",19,7253,293
"149","BAJA CALIFORNIA SUR","03003","SECUNDARIA","TÉCNICA",13,7121,229
"150","BAJA CALIFORNIA SUR","03003","SECUNDARIA","TELESECUNDARIA",21,1505,88
"151","BAJA CALIFORNIA SUR","03008","PREESCOLAR","COMUNITARIO",8,56,6
"152","BAJA CALIFORNIA SUR","03008","PREESCOLAR","GENERAL",78,9728,365
"153","BAJA CALIFORNIA SUR","03008","PRIMARIA","COMUNITARIO",4,44,5
"154","BAJA CALIFORNIA SUR","03008","PRIMARIA","GENERAL",94,33524,1042
"155","BAJA CALIFORNIA SUR","03008","SECUNDARIA","GENERAL",11,5770,245
"156","BAJA CALIFORNIA SUR","03008","SECUNDARIA","TÉCNICA",14,8683,322
"157","BAJA CALIFORNIA SUR","03008","SECUNDARIA","TELESECUNDARIA",10,1804,72
"158","BAJA CALIFORNIA SUR","03009","PREESCOLAR","COMUNITARIO",8,62,5
"159","BAJA CALIFORNIA SUR","03009","PREESCOLAR","GENERAL",6,608,25
"160","BAJA CALIFORNIA SUR","03009","PRIMARIA","COMUNITARIO",4,8,2
"161","BAJA CALIFORNIA SUR","03009","PRIMARIA","GENERAL",11,1843,76
"162","BAJA CALIFORNIA SUR","03009","SECUNDARIA","GENERAL",2,843,27
"163","BAJA CALIFORNIA SUR","03009","SECUNDARIA","TELESECUNDARIA",3,64,6
"164","CAMPECHE","04001","PREESCOLAR","COMUNITARIO",2,15,2
"165","CAMPECHE","04001","PREESCOLAR","GENERAL",17,1225,56
"166","CAMPECHE","04001","PREESCOLAR","INDÍGENA",22,1459,47
"167","CAMPECHE","04001","PRIMARIA","COMUNITARIO",1,9,1
"168","CAMPECHE","04001","PRIMARIA","GENERAL",33,6012,254
"169","CAMPECHE","04001","PRIMARIA","INDÍGENA",6,333,14
"170","CAMPECHE","04001","SECUNDARIA","GENERAL",1,331,13
"171","CAMPECHE","04001","SECUNDARIA","TÉCNICA",7,2752,114
"172","CAMPECHE","04001","SECUNDARIA","TELESECUNDARIA",6,451,22
"173","CAMPECHE","04002","PREESCOLAR","COMUNITARIO",11,135,11
"174","CAMPECHE","04002","PREESCOLAR","GENERAL",86,8893,388
"175","CAMPECHE","04002","PREESCOLAR","INDÍGENA",10,390,10
"176","CAMPECHE","04002","PRIMARIA","COMUNITARIO",1,6,1
"177","CAMPECHE","04002","PRIMARIA","GENERAL",113,24263,943
"178","CAMPECHE","04002","PRIMARIA","INDÍGENA",2,54,1
"179","CAMPECHE","04002","SECUNDARIA","COMUNITARIO",1,22,2
"180","CAMPECHE","04002","SECUNDARIA","GENERAL",12,5821,287
"181","CAMPECHE","04002","SECUNDARIA","TÉCNICA",13,6657,263
"182","CAMPECHE","04002","SECUNDARIA","TELESECUNDARIA",14,976,47
"183","CAMPECHE","04003","PREESCOLAR","COMUNITARIO",22,259,23
"184","CAMPECHE","04003","PREESCOLAR","GENERAL",63,7219,253
"185","CAMPECHE","04003","PRIMARIA","COMUNITARIO",6,42,5
"186","CAMPECHE","04003","PRIMARIA","GENERAL",107,22490,802
"187","CAMPECHE","04003","SECUNDARIA","COMUNITARIO",3,16,2
"188","CAMPECHE","04003","SECUNDARIA","GENERAL",6,3067,104
"189","CAMPECHE","04003","SECUNDARIA","TÉCNICA",13,6382,228
"190","CAMPECHE","04003","SECUNDARIA","TELESECUNDARIA",16,734,30
"191","CAMPECHE","04004","PREESCOLAR","COMUNITARIO",16,140,15
"192","CAMPECHE","04004","PREESCOLAR","GENERAL",53,3278,121
"193","CAMPECHE","04004","PREESCOLAR","INDÍGENA",11,532,12
"194","CAMPECHE","04004","PRIMARIA","COMUNITARIO",4,44,4
"195","CAMPECHE","04004","PRIMARIA","GENERAL",79,10907,431
"196","CAMPECHE","04004","PRIMARIA","INDÍGENA",1,93,6
"197","CAMPECHE","04004","SECUNDARIA","COMUNITARIO",4,33,4
"198","CAMPECHE","04004","SECUNDARIA","GENERAL",3,927,33
"199","CAMPECHE","04004","SECUNDARIA","TÉCNICA",8,2647,114
"200","CAMPECHE","04004","SECUNDARIA","TELESECUNDARIA",22,1216,63
"201","CAMPECHE","04005","PREESCOLAR","GENERAL",10,625,31
"202","CAMPECHE","04005","PREESCOLAR","INDÍGENA",18,772,19
"203","CAMPECHE","04005","PRIMARIA","GENERAL",18,3235,128
"204","CAMPECHE","04005","PRIMARIA","INDÍGENA",3,147,6
"205","CAMPECHE","04005","SECUNDARIA","COMUNITARIO",1,7,1
"206","CAMPECHE","04005","SECUNDARIA","GENERAL",3,1845,42
"207","CAMPECHE","04005","SECUNDARIA","TELESECUNDARIA",5,301,15
"208","CAMPECHE","04006","PREESCOLAR","COMUNITARIO",3,25,2
"209","CAMPECHE","04006","PREESCOLAR","GENERAL",8,776,32
"210","CAMPECHE","04006","PREESCOLAR","INDÍGENA",22,863,22
"211","CAMPECHE","04006","PRIMARIA","COMUNITARIO",1,8,1
"212","CAMPECHE","04006","PRIMARIA","GENERAL",29,3936,166
"213","CAMPECHE","04006","PRIMARIA","INDÍGENA",8,300,7
"214","CAMPECHE","04006","SECUNDARIA","COMUNITARIO",1,8,1
"215","CAMPECHE","04006","SECUNDARIA","GENERAL",1,616,18
"216","CAMPECHE","04006","SECUNDARIA","TÉCNICA",2,439,15
"217","CAMPECHE","04006","SECUNDARIA","TELESECUNDARIA",15,930,41
"218","CAMPECHE","04007","PREESCOLAR","COMUNITARIO",15,104,13
"219","CAMPECHE","04007","PREESCOLAR","GENERAL",9,325,7
"220","CAMPECHE","04007","PRIMARIA","COMUNITARIO",9,53,8
"221","CAMPECHE","04007","PRIMARIA","GENERAL",21,1091,33
"222","CAMPECHE","04007","SECUNDARIA","COMUNITARIO",6,54,6
"223","CAMPECHE","04007","SECUNDARIA","GENERAL",1,307,12
"224","CAMPECHE","04007","SECUNDARIA","TELESECUNDARIA",4,176,10
"225","CAMPECHE","04008","PREESCOLAR","COMUNITARIO",3,19,2
"226","CAMPECHE","04008","PREESCOLAR","GENERAL",5,436,19
"227","CAMPECHE","04008","PREESCOLAR","INDÍGENA",1,23,0
"228","CAMPECHE","04008","PRIMARIA","COMUNITARIO",2,17,2
"229","CAMPECHE","04008","PRIMARIA","GENERAL",6,1251,45
"230","CAMPECHE","04008","SECUNDARIA","COMUNITARIO",1,0,0
"231","CAMPECHE","04008","SECUNDARIA","TÉCNICA",2,908,26
"232","CAMPECHE","04008","SECUNDARIA","TELESECUNDARIA",1,56,3
"233","CAMPECHE","04009","PREESCOLAR","COMUNITARIO",19,186,18
"234","CAMPECHE","04009","PREESCOLAR","GENERAL",41,2440,75
"235","CAMPECHE","04009","PRIMARIA","COMUNITARIO",3,24,3
"236","CAMPECHE","04009","PRIMARIA","GENERAL",58,7601,308
"237","CAMPECHE","04009","SECUNDARIA","COMUNITARIO",6,111,7
"238","CAMPECHE","04009","SECUNDARIA","GENERAL",3,1440,52
"239","CAMPECHE","04009","SECUNDARIA","TÉCNICA",3,934,41
"240","CAMPECHE","04009","SECUNDARIA","TELESECUNDARIA",19,1151,55
"241","CAMPECHE","04010","PREESCOLAR","COMUNITARIO",11,93,10
"242","CAMPECHE","04010","PREESCOLAR","GENERAL",7,243,7
"243","CAMPECHE","04010","PREESCOLAR","INDÍGENA",35,1203,22
"244","CAMPECHE","04010","PRIMARIA","COMUNITARIO",3,35,3
"245","CAMPECHE","04010","PRIMARIA","GENERAL",26,2045,71
"246","CAMPECHE","04010","PRIMARIA","INDÍGENA",31,1708,55
"247","CAMPECHE","04010","SECUNDARIA","COMUNITARIO",6,48,6
"248","CAMPECHE","04010","SECUNDARIA","TÉCNICA",1,558,13
"249","CAMPECHE","04010","SECUNDARIA","TELESECUNDARIA",23,993,43
"250","CAMPECHE","04011","PREESCOLAR","COMUNITARIO",68,711,72
"251","CAMPECHE","04011","PREESCOLAR","GENERAL",42,1565,37
"252","CAMPECHE","04011","PRIMARIA","COMUNITARIO",35,371,36
"253","CAMPECHE","04011","PRIMARIA","GENERAL",90,6267,212
"254","CAMPECHE","04011","SECUNDARIA","COMUNITARIO",45,572,51
"255","CAMPECHE","04011","SECUNDARIA","TÉCNICA",2,784,27
"256","CAMPECHE","04011","SECUNDARIA","TELESECUNDARIA",31,1322,56
"257","CHIAPAS","07 NA","PREESCOLAR","COMUNITARIO",26,218,23
"258","CHIAPAS","07 NA","PREESCOLAR","GENERAL",29,1547,42
"259","CHIAPAS","07 NA","PREESCOLAR","INDÍGENA",17,744,15
"260","CHIAPAS","07 NA","PRIMARIA","COMUNITARIO",18,236,17
"261","CHIAPAS","07 NA","PRIMARIA","GENERAL",32,3709,121
"262","CHIAPAS","07 NA","PRIMARIA","INDÍGENA",15,1015,21
"263","CHIAPAS","07 NA","SECUNDARIA","COMUNITARIO",8,32,4
"264","CHIAPAS","07 NA","SECUNDARIA","GENERAL",2,529,33
"265","CHIAPAS","07 NA","SECUNDARIA","TÉCNICA",3,1103,32
"266","CHIAPAS","07 NA","SECUNDARIA","TELESECUNDARIA",7,768,29
"267","CHIAPAS","07001","PREESCOLAR","COMUNITARIO",6,63,6
"268","CHIAPAS","07001","PREESCOLAR","GENERAL",11,814,26
"269","CHIAPAS","07001","PREESCOLAR","INDÍGENA",1,15,0
"270","CHIAPAS","07001","PRIMARIA","COMUNITARIO",4,56,5
"271","CHIAPAS","07001","PRIMARIA","GENERAL",8,897,31
"272","CHIAPAS","07001","PRIMARIA","INDÍGENA",4,152,2
"273","CHIAPAS","07001","SECUNDARIA","COMUNITARIO",5,30,4
"274","CHIAPAS","07001","SECUNDARIA","TELESECUNDARIA",3,364,10
"275","CHIAPAS","07002","PREESCOLAR","COMUNITARIO",5,39,5
"276","CHIAPAS","07002","PREESCOLAR","GENERAL",9,696,22
"277","CHIAPAS","07002","PREESCOLAR","INDÍGENA",1,11,0
"278","CHIAPAS","07002","PRIMARIA","COMUNITARIO",4,60,6
"279","CHIAPAS","07002","PRIMARIA","GENERAL",13,1987,68
"280","CHIAPAS","07002","PRIMARIA","INDÍGENA",2,80,1
"281","CHIAPAS","07002","SECUNDARIA","TÉCNICA",1,498,14
"282","CHIAPAS","07002","SECUNDARIA","TELESECUNDARIA",2,179,6
"283","CHIAPAS","07003","PREESCOLAR","COMUNITARIO",8,84,9
"284","CHIAPAS","07003","PREESCOLAR","GENERAL",26,1178,23
"285","CHIAPAS","07003","PRIMARIA","COMUNITARIO",2,50,2
"286","CHIAPAS","07003","PRIMARIA","GENERAL",26,2277,83
"287","CHIAPAS","07003","SECUNDARIA","COMUNITARIO",1,10,1
"288","CHIAPAS","07003","SECUNDARIA","GENERAL",3,648,25
"289","CHIAPAS","07003","SECUNDARIA","TELESECUNDARIA",3,138,6
"290","CHIAPAS","07004","PREESCOLAR","COMUNITARIO",8,34,5
"291","CHIAPAS","07004","PREESCOLAR","GENERAL",5,348,10
"292","CHIAPAS","07004","PREESCOLAR","INDÍGENA",18,700,4
"293","CHIAPAS","07004","PRIMARIA","COMUNITARIO",12,168,14
"294","CHIAPAS","07004","PRIMARIA","GENERAL",7,1122,38
"295","CHIAPAS","07004","PRIMARIA","INDÍGENA",22,1745,34
"296","CHIAPAS","07004","SECUNDARIA","COMUNITARIO",1,0,0
"297","CHIAPAS","07004","SECUNDARIA","TÉCNICA",2,1330,22
"298","CHIAPAS","07004","SECUNDARIA","TELESECUNDARIA",12,1045,28
"299","CHIAPAS","07005","PREESCOLAR","COMUNITARIO",16,200,17
"300","CHIAPAS","07005","PREESCOLAR","GENERAL",2,91,2
"301","CHIAPAS","07005","PREESCOLAR","INDÍGENA",22,743,9
"302","CHIAPAS","07005","PRIMARIA","COMUNITARIO",9,192,17
"303","CHIAPAS","07005","PRIMARIA","GENERAL",6,666,23
"304","CHIAPAS","07005","PRIMARIA","INDÍGENA",33,1827,41
"305","CHIAPAS","07005","SECUNDARIA","TÉCNICA",1,213,6
"306","CHIAPAS","07005","SECUNDARIA","TELESECUNDARIA",5,420,12
"307","CHIAPAS","07006","PREESCOLAR","COMUNITARIO",4,39,3
"308","CHIAPAS","07006","PREESCOLAR","GENERAL",24,830,16
"309","CHIAPAS","07006","PREESCOLAR","INDÍGENA",8,237,2
"310","CHIAPAS","07006","PRIMARIA","COMUNITARIO",4,34,4
"311","CHIAPAS","07006","PRIMARIA","GENERAL",29,2752,112
"312","CHIAPAS","07006","PRIMARIA","INDÍGENA",11,740,17
"313","CHIAPAS","07006","SECUNDARIA","COMUNITARIO",4,28,3
"314","CHIAPAS","07006","SECUNDARIA","TELESECUNDARIA",6,693,29
"315","CHIAPAS","07007","PREESCOLAR","COMUNITARIO",17,158,19
"316","CHIAPAS","07007","PREESCOLAR","GENERAL",2,77,1
"317","CHIAPAS","07007","PREESCOLAR","INDÍGENA",4,171,2
"318","CHIAPAS","07007","PRIMARIA","COMUNITARIO",11,122,13
"319","CHIAPAS","07007","PRIMARIA","GENERAL",3,116,3
"320","CHIAPAS","07007","PRIMARIA","INDÍGENA",8,487,9
"321","CHIAPAS","07007","SECUNDARIA","COMUNITARIO",1,55,2
"322","CHIAPAS","07007","SECUNDARIA","TELESECUNDARIA",4,407,13
"323","CHIAPAS","07008","PREESCOLAR","COMUNITARIO",3,31,3
"324","CHIAPAS","07008","PREESCOLAR","GENERAL",22,934,19
"325","CHIAPAS","07008","PRIMARIA","COMUNITARIO",2,15,2
"326","CHIAPAS","07008","PRIMARIA","GENERAL",16,2471,82
"327","CHIAPAS","07008","SECUNDARIA","COMUNITARIO",1,0,0
"328","CHIAPAS","07008","SECUNDARIA","TELESECUNDARIA",6,639,22
"329","CHIAPAS","07009","PREESCOLAR","COMUNITARIO",1,8,1
"330","CHIAPAS","07009","PREESCOLAR","GENERAL",23,1249,43
"331","CHIAPAS","07009","PRIMARIA","COMUNITARIO",3,44,4
"332","CHIAPAS","07009","PRIMARIA","GENERAL",27,3494,141
"333","CHIAPAS","07009","SECUNDARIA","GENERAL",2,485,14
"334","CHIAPAS","07009","SECUNDARIA","TÉCNICA",2,642,20
"335","CHIAPAS","07009","SECUNDARIA","TELESECUNDARIA",7,755,27
"336","CHIAPAS","07010","PREESCOLAR","COMUNITARIO",3,36,3
"337","CHIAPAS","07010","PREESCOLAR","GENERAL",5,127,0
"338","CHIAPAS","07010","PREESCOLAR","INDÍGENA",3,66,2
"339","CHIAPAS","07010","PRIMARIA","COMUNITARIO",3,20,3
"340","CHIAPAS","07010","PRIMARIA","GENERAL",12,647,19
"341","CHIAPAS","07010","PRIMARIA","INDÍGENA",4,111,0
"342","CHIAPAS","07010","SECUNDARIA","COMUNITARIO",1,27,2
"343","CHIAPAS","07010","SECUNDARIA","TELESECUNDARIA",5,521,17
"344","CHIAPAS","07011","PREESCOLAR","COMUNITARIO",12,98,10
"345","CHIAPAS","07011","PREESCOLAR","GENERAL",16,559,9
"346","CHIAPAS","07011","PREESCOLAR","INDÍGENA",5,68,0
"347","CHIAPAS","07011","PRIMARIA","COMUNITARIO",5,59,6
"348","CHIAPAS","07011","PRIMARIA","GENERAL",18,1660,62
"349","CHIAPAS","07011","PRIMARIA","INDÍGENA",7,225,4
"350","CHIAPAS","07011","SECUNDARIA","COMUNITARIO",1,0,0
"351","CHIAPAS","07011","SECUNDARIA","TÉCNICA",1,176,7
"352","CHIAPAS","07011","SECUNDARIA","TELESECUNDARIA",10,913,33
"353","CHIAPAS","07012","PREESCOLAR","COMUNITARIO",10,49,6
"354","CHIAPAS","07012","PREESCOLAR","GENERAL",16,1169,28
"355","CHIAPAS","07012","PREESCOLAR","INDÍGENA",2,69,1
